"","X1","NFG","OXY","long_distance","Fx","Fy","MI_X","MI_Y"
"66",2009-04-07,0.96168108776267,0.896557271557272,NA,0.519480519480519,0.19047619047619,0.867934223091129,0.0534651821107778
"67",2009-04-08,0.967552533992583,0.913288288288288,NA,0.619047619047619,0.692640692640693,0.462124386982658,0.675680871631606
"68",2009-04-09,0.98053152039555,0.941602316602317,NA,0.783549783549784,0.813852813852814,0.588105079496368,0.710972042388933
"69",2009-04-13,0.97991347342398,0.944658944658945,NA,0.515151515151515,0.515151515151515,0.488051825351903,0.488051825351903
"70",2009-04-14,0.964771322620519,0.930662805662806,NA,0.225108225108225,0.337662337662338,0.196268629489172,0.599098708553565
"71",2009-04-15,0.990420271940667,0.938545688545689,NA,0.87012987012987,0.562770562770563,0.946497636045366,0.158697828710601
"72",2009-04-16,0.999690976514215,0.948841698841699,NA,0.675324675324675,0.588744588744589,0.676489965181281,0.432341531112505
"73",2009-04-17,1.00648949320148,0.95945945945946,NA,0.627705627705628,0.597402597402597,0.587469170665714,0.502064133711711
"74",2009-04-20,0.972805933250927,0.898970398970399,NA,0.0952380952380952,0.0779220779220779,0.440768898590065,0.251874210079486
"75",2009-04-21,0.997218788627936,0.901866151866152,NA,0.865800865800866,0.515151515151515,0.953114741932223,0.127630432183444
"76",2009-04-22,0.980840543881335,0.893822393822394,NA,0.216450216450216,0.385281385281385,0.141071869480086,0.691006878940667
"77",2009-04-23,0.98114956736712,0.900418275418275,NA,0.519480519480519,0.54978354978355,0.457408870586123,0.54068040014265
"78",2009-04-24,0.995982694684796,0.898809523809524,NA,0.792207792207792,0.445887445887446,0.915535366921348,0.136428523300693
"79",2009-04-27,1.01050679851669,0.881756756756757,"OXY",0.787878787878788,0.29004329004329,0.958160626297266,0.0445126767309206
"80",2009-04-28,1.01143386897404,0.881113256113256,"OXY",0.528138528138528,0.458874458874459,0.571964290735677,0.381607429418602
"81",2009-04-29,1.0225587144623,0.923423423423423,"OXY",0.701298701298701,0.904761904761905,0.231548616389272,0.943815948095094
"82",2009-04-30,1.01081582200247,0.905566280566281,"OXY",0.316017316017316,0.29004329004329,0.436756094936086,0.344923693390085
"83",2009-05-01,1.02688504326329,0.940637065637066,"OXY",0.796536796536797,0.87012987012987,0.482920786621353,0.820480193560829
"84",2009-05-04,1.05871446229913,0.97972972972973,"OXY",0.904761904761905,0.883116883116883,0.7609334955157,0.608888105265979
"85",2009-05-05,1.03028430160692,0.972812097812098,"OXY",0.116883116883117,0.38961038961039,0.0315413297138041,0.876356879369428
"86",2009-05-06,1.02441285537701,1.03893178893179,NA,0.428571428571429,0.930735930735931,0.0384237801322813,0.991452613782586
"87",2009-05-07,1.01143386897404,1.00498712998713,NA,0.281385281385281,0.194805194805195,0.561650112385097,0.204078618542006
"88",2009-05-08,1.01977750309023,1.05083655083655,NA,0.649350649350649,0.887445887445887,0.21140260162468,0.940632959450845
"89",2009-05-11,1.00834363411619,1.01158301158301,NA,0.32034632034632,0.181818181818182,0.663529676751802,0.139479826677002
"90",2009-05-12,1.00432632880099,1.01624839124839,NA,0.454545454545455,0.519480519480519,0.383726609179075,0.562869059289344
"91",2009-05-13,0.972496909765142,0.986647361647362,NA,0.0995670995670996,0.207792207792208,0.091812711807882,0.704711443696605
"92",2009-05-14,0.977441285537701,0.987934362934363,NA,0.606060606060606,0.506493506493506,0.645442746760217,0.376512388175795
"93",2009-05-15,0.952101359703337,0.965733590733591,NA,0.121212121212121,0.268398268398268,0.0822106498449954,0.738647115159572
"94",2009-05-18,0.967552533992583,0.996782496782497,NA,0.805194805194805,0.826839826839827,0.611142745136573,0.705448108787616
"95",2009-05-19,0.984239802224969,1.0019305019305,NA,0.813852813852814,0.528138528138528,0.905807284213448,0.191270956218031
"96",2009-05-20,1.00556242274413,1.01367438867439,NA,0.83982683982684,0.61038961038961,0.901789378616837,0.24690404922983
"97",2009-05-21,0.98114956736712,0.985199485199485,NA,0.134199134199134,0.207792207792208,0.17158073572027,0.574597330525117
"98",2009-05-22,0.977441285537701,0.997908622908623,NA,0.467532467532468,0.623376623376623,0.300520217819617,0.708933267691467
"99",2009-05-26,1.00587144622991,1.01978764478764,NA,0.896103896103896,0.714285714285714,0.928566061900295,0.268039611243078
"100",2009-05-27,0.978677379480841,1.01077863577864,NA,0.116883116883117,0.385281385281385,0.0324232453518418,0.87333415810054
"101",2009-05-28,1.01977750309023,1.05324967824968,NA,0.943722943722944,0.883116883116883,0.897209821967093,0.411573298861978
"102",2009-05-29,1.03615574783684,1.0796332046332,NA,0.800865800865801,0.761904761904762,0.714467154500859,0.566184834723541
"103",2009-06-01,1.07632880098888,1.11550836550837,NA,0.930735930735931,0.83982683982684,0.912259491928799,0.364105402420226
"104",2009-06-02,1.07354758961681,1.11566924066924,NA,0.493506493506494,0.489177489177489,0.481011670331757,0.468983852634401
"105",2009-06-03,1.03430160692213,1.0757722007722,NA,0.0779220779220779,0.19047619047619,0.0635665403946639,0.760191209844886
"106",2009-06-04,1.03986402966625,1.10392535392535,NA,0.61038961038961,0.770562770562771,0.345947495710544,0.808926190165217
"107",2009-06-05,1.06087762669963,1.1029601029601,NA,0.83982683982684,0.454545454545455,0.948004281918094,0.1086399397372
"108",2009-06-08,1.0593325092707,1.09925997425997,NA,0.502164502164502,0.432900432900433,0.559769434343565,0.367013883253642
"109",2009-06-09,1.06582200247219,1.11068211068211,NA,0.619047619047619,0.588744588744589,0.582042243527167,0.497116131813831
"110",2009-06-10,1.07941903584672,1.11438223938224,NA,0.770562770562771,0.515151515151515,0.865668251952388,0.221817678130605
"111",2009-06-11,1.10228677379481,1.13626126126126,NA,0.83982683982684,0.696969696969697,0.855062609971792,0.366180182119941
"112",2009-06-12,1.10259579728059,1.10955598455598,NA,0.519480519480519,0.264069264069264,0.784784726929594,0.118866308909716
"113",2009-06-15,1.0716934487021,1.07915057915058,NA,0.112554112554113,0.216450216450216,0.110233139364772,0.673199937541141
"114",2009-06-16,1.09919653893696,1.03539253539254,NA,0.865800865800866,0.142857142857143,0.995237818939773,0.00379740512253867
"115",2009-06-17,1.11835599505562,1.02638352638353,NA,0.813852813852814,0.385281385281385,0.947885877856392,0.0818510604868322
"116",2009-06-18,1.15111248454883,1.03684041184041,NA,0.896103896103896,0.588744588744589,0.961540517477625,0.144685532402313
"117",2009-06-19,1.12391841779975,1.03796653796654,NA,0.142857142857143,0.506493506493506,0.0272472878108184,0.910310608474603
"118",2009-06-22,1.08158220024722,0.987290862290862,NA,0.0779220779220779,0.103896103896104,0.217600607863818,0.485168220992737
"119",2009-06-23,1.07200247218789,1.00916988416988,NA,0.346320346320346,0.714285714285714,0.102509737262762,0.895346654613434
"120",2009-06-24,1.06520395550062,1.03153153153153,NA,0.402597402597403,0.714285714285714,0.150499741253256,0.866011935257789
"121",2009-06-25,1.10939431396786,1.0530888030888,NA,0.935064935064935,0.705627705627706,0.972778537610433,0.162587266301324
"122",2009-06-26,1.1044499381953,1.03442728442728,NA,0.45021645021645,0.303030303030303,0.645553111242127,0.215173480052611
"123",2009-06-29,1.11310259579728,1.06386743886744,NA,0.649350649350649,0.800865800865801,0.360242076375878,0.827210290187059
"124",2009-06-30,1.11495673671199,1.05871943371943,NA,0.532467532467532,0.406926406926407,0.637088295219688,0.296122302664238
"125",2009-07-01,1.13102595797281,1.0485842985843,NA,0.783549783549784,0.380952380952381,0.930547555575853,0.0941425367291276
