"","X1","MTSC","DLR","long_distance","Fx","Fy","MI_X","MI_Y"
"67",2009-04-08,0.805710048201706,1.10420650095602,"MTSC",0.787878787878788,0.783549783549784,0.669470734301881,0.656372624971657
"68",2009-04-09,0.824249165739711,1.23709369024857,"MTSC",0.818181818181818,0.987012987012987,0.241465082723319,0.991906442014176
"69",2009-04-13,0.804597701149425,1.25239005736138,"MTSC",0.173160173160173,0.666666666666667,0.0619223222651674,0.886605871705812
"70",2009-04-14,0.765294771968854,1.14181007010835,"MTSC",0.0476190476190476,0.0346320346320346,0.28787595044229,0.162639198056449
"71",2009-04-15,0.793103448275862,1.17527087316762,"MTSC",0.926406926406926,0.835497835497836,0.887244513934771,0.507729563617462
"72",2009-04-16,0.824990730441231,1.17272147864882,"MTSC",0.943722943722944,0.432900432900433,0.984903977890125,0.111932558073355
"73",2009-04-17,0.844271412680756,1.16252390057361,"MTSC",0.818181818181818,0.354978354978355,0.929614467934814,0.128823953720755
"74",2009-04-20,0.825732295142751,1.08540471637986,"MTSC",0.194805194805195,0.0649350649350649,0.574015126882684,0.0773874353242187
"75",2009-04-21,0.834260289210234,1.14435946462715,"MTSC",0.675324675324675,0.909090909090909,0.307479706697866,0.934468145119659
"76",2009-04-22,0.817204301075269,1.11790949649458,"MTSC",0.212121212121212,0.242424242424242,0.301132542687025,0.389857896199634
"77",2009-04-23,0.769373377827215,1.18833652007648,"MTSC",0.038961038961039,0.922077922077922,0.00779909258517232,0.982388385386604
"78",2009-04-24,0.759733036707453,1.22339069471001,"MTSC",0.329004329004329,0.835497835497836,0.108285914800702,0.943292670328217
"79",2009-04-27,0.755283648498332,1.18674314850223,"MTSC",0.393939393939394,0.199134199134199,0.634616717740939,0.165649832651988
"80",2009-04-28,0.752317389692251,1.16634799235182,"MTSC",0.437229437229437,0.294372294372294,0.595198524257539,0.262940979500588
"81",2009-04-29,0.782350760103819,1.19216061185468,"MTSC",0.943722943722944,0.766233766233766,0.950243531199991,0.344198522715459
"82",2009-04-30,0.783463107156099,1.14754620777565,"MTSC",0.558441558441558,0.16017316017316,0.825476449510676,0.0724850681146618
"83",2009-05-01,0.804597701149425,1.11281070745698,"MTSC",0.865800865800866,0.199134199134199,0.967528464211341,0.0488120762859109
"84",2009-05-04,0.842788283277716,1.20076481835564,"MTSC",0.956709956709957,0.943722943722944,0.822324174818536,0.715088960276975
"85",2009-05-05,0.812384130515387,1.20618228170809,"MTSC",0.0865800865800866,0.562770562770563,0.0283581563766016,0.869634302264783
"86",2009-05-06,0.782350760103819,1.22307202039516,"MTSC",0.0735930735930736,0.683982683982684,0.0174819629784979,0.922559398613634
"87",2009-05-07,0.779755283648498,1.12683237731039,"MTSC",0.445887445887446,0.038961038961039,0.851936106397044,0.0121124856950907
"88",2009-05-08,0.78383388950686,1.15997450605481,"MTSC",0.636363636363636,0.835497835497836,0.363468852870408,0.862486620588259
"89",2009-05-11,0.782721542454579,1.10101975780752,"MTSC",0.484848484848485,0.0995670995670996,0.8170516342491,0.0431066850747797
"90",2009-05-12,0.778642936596218,1.14372211599745,"MTSC",0.41991341991342,0.874458874458874,0.141841493239746,0.952840043069512
"91",2009-05-13,0.770114942528736,1.08891013384321,"MTSC",0.337662337662338,0.108225108225108,0.680398274883935,0.0807902434047656
"92",2009-05-14,0.779755283648498,1.11217335882728,"MTSC",0.70995670995671,0.757575757575758,0.566774200788198,0.695626044804907
"93",2009-05-15,0.781979977753059,1.0748884639898,"MTSC",0.584415584415584,0.181818181818182,0.831708299463812,0.0823394285672853
"94",2009-05-18,0.793474230626622,1.17080943275972,"MTSC",0.727272727272727,0.965367965367965,0.245717725464917,0.980303486510382
"95",2009-05-19,0.782350760103819,1.12045889101338,"MTSC",0.281385281385281,0.12987012987013,0.573955904183746,0.133125600948167
"96",2009-05-20,0.781609195402299,1.12364563416189,"MTSC",0.493506493506494,0.523809523809524,0.470142227036821,0.53955648544097
"97",2009-05-21,0.781979977753059,1.11854684512428,"MTSC",0.528138528138528,0.41991341991342,0.607807823845363,0.363938428907052
"98",2009-05-22,0.777159807193178,1.09655831739962,"MTSC",0.393939393939394,0.25974025974026,0.570358199074289,0.245959022215054
"99",2009-05-26,0.803485354097145,1.15901848311026,"MTSC",0.922077922077922,0.917748917748918,0.760696080906309,0.735914363095225
"100",2009-05-27,0.802373007044865,1.09496494582537,"MTSC",0.484848484848485,0.0822510822510823,0.831215463483606,0.0323548883721329
"101",2009-05-28,0.811271783463107,1.10548119821542,"MTSC",0.683982683982684,0.645021645021645,0.640450971734509,0.544110812753284
"102",2009-05-29,0.82239525398591,1.13989802421925,"MTSC",0.722943722943723,0.83982683982684,0.479787310793381,0.817613835003664
"103",2009-06-01,0.834631071560994,1.18833652007648,"MTSC",0.727272727272727,0.883116883116883,0.41700789751376,0.881229902094294
