,CVX,WM
2008-12-11,0.9632682749424173,0.8889559444779722
2008-12-12,0.9576918414353256,0.9025347012673506
2008-12-15,0.9481149230209722,0.9103802051901027
2008-12-16,0.9578130682506972,0.9571514785757392
2008-12-17,0.9312643956843254,0.9480989740494871
2008-12-18,0.8853194326585041,0.9426674713337356
2008-12-19,0.8588919869075039,0.9417622208811105
2008-12-22,0.8411928718632562,0.9502112251056125
2008-12-23,0.8388895623711966,0.9269764634882317
2008-12-24,0.8439810886168021,0.932407966203983
2008-12-26,0.8528306461389259,0.9342184671092336
2008-12-29,0.8673778639835131,0.9302957151478575
2008-12-30,0.8895623711965087,0.9788774894387446
2008-12-31,0.8967147533034308,1.0
