"","X1","CCL","ETH","long_distance","Fx","Fy","MI_X","MI_Y"
"82",2009-04-30,1.05205479452055,0.922496570644719,"ETH",0.705627705627706,0.558441558441558,0.721563557989619,0.392480014497248
"83",2009-05-01,1.02309197651663,0.93278463648834,"ETH",0.229437229437229,0.662337662337662,0.089989802467259,0.883675334344864
"84",2009-05-04,1.1573385518591,0.925925925925926,"ETH",1,0.467532467532468,0.9999999999,1.0456968687809e-08
"85",2009-05-05,1.14755381604697,0.924554183813443,"ETH",0.445887445887446,0.536796536796537,0.397576840002633,0.594692877958543
"86",2009-05-06,1.15342465753425,0.910836762688614,"ETH",0.597402597402597,0.372294372294372,0.728220506271763,0.259899664563163
"87",2009-05-07,1.10097847358121,0.899862825788752,"ETH",0.121212121212121,0.393939393939394,0.0946955669525352,0.743588545621342
"88",2009-05-08,1.09080234833659,0.919067215363512,"ETH",0.441558441558442,0.761904761904762,0.209000581545944,0.857373189666877
"89",2009-05-11,1.06692759295499,0.887517146776406,"ETH",0.264069264069264,0.177489177489178,0.486243428078376,0.249093044408774
"90",2009-05-12,1.05127201565558,0.831275720164609,"ETH",0.367965367965368,0.0432900432900433,0.8496789763923,0.0242230042930256
"91",2009-05-13,0.989432485322896,0.741426611796982,"ETH",0.051948051948052,0.012987012987013,0.410865160354797,0.0620888360594672
"92",2009-05-14,1.00039138943249,0.696159122085048,"ETH",0.692640692640693,0.051948051948052,0.98079272652184,0.00488076142777298
"93",2009-05-15,0.978473581213307,0.683127572016461,"ETH",0.264069264069264,0.311688311688312,0.341119163572517,0.458624016453635
"94",2009-05-18,1.03679060665362,0.732510288065844,"ETH",0.939393939393939,0.978354978354978,0.618633735137137,0.908530892994691
"95",2009-05-19,1.03874755381605,0.721536351165981,"ETH",0.545454545454545,0.372294372294372,0.667275586362107,0.298328286896501
"96",2009-05-20,0.980430528375734,0.738683127572016,"ETH",0.0649350649350649,0.779220779220779,0.00383055614668741,0.989984563387871
"97",2009-05-21,0.965949119373777,0.705761316872428,"ETH",0.367965367965368,0.103896103896104,0.739797407506105,0.0848214077288495
"98",2009-05-22,0.976516634050881,0.715363511659808,"ETH",0.692640692640693,0.692640692640693,0.59106954295975,0.59106954295975
"99",2009-05-26,1.01409001956947,0.802469135802469,"ETH",0.878787878787879,0.995670995670996,0.234679137888761,0.993043273244556
"100",2009-05-27,0.970645792563601,0.801097393689986,"ETH",0.12987012987013,0.536796536796537,0.0582948312700589,0.863432733717005
"101",2009-05-28,0.954598825831703,0.816186556927298,"ETH",0.346320346320346,0.735930735930736,0.142876692961942,0.880056016066684
"102",2009-05-29,0.995694716242661,0.840877914951989,"ETH",0.896103896103896,0.813852813852814,0.814299647962954,0.536126030671527
"103",2009-06-01,1.04422700587084,0.910836762688614,"ETH",0.9004329004329,0.987012987012987,0.410224499465332,0.966612086474479
"104",2009-06-02,1.04892367906067,0.94718792866941,"ETH",0.58008658008658,0.865800865800866,0.245350467337225,0.901134402491837
"105",2009-06-03,1.02700587084149,0.892318244170096,"ETH",0.272727272727273,0.0562770562770563,0.716370558255914,0.0576601043783821
"106",2009-06-04,1.01722113502935,0.901920438957476,"ETH",0.441558441558442,0.662337662337662,0.289032728652692,0.751932603546479
"107",2009-06-05,1.00039138943249,0.904663923182442,"ETH",0.346320346320346,0.601731601731602,0.228083575690375,0.75247192320784
"108",2009-06-08,0.978473581213307,0.876543209876543,"ETH",0.264069264069264,0.207792207792208,0.448169166868629,0.297771321171318
"109",2009-06-09,0.979647749510763,0.86556927297668,"ETH",0.545454545454545,0.38961038961039,0.652889243851738,0.319480912658768
"110",2009-06-10,0.933463796477495,0.866941015089163,"ETH",0.108225108225108,0.58008658008658,0.0352911263190643,0.909080298619823
"111",2009-06-11,0.928767123287671,0.85116598079561,"ETH",0.476190476190476,0.324675324675325,0.62321538178476,0.291406256363279
