"","X1","CMCSA","CMCSK","long_distance","Fx","Fy","MI_X","MI_Y"
"87",2009-05-07,0.872151195108394,0.854251012145749,"CMCSK",0.220779220779221,0.268398268398268,0.102813142011819,0.869126032585861
"88",2009-05-08,0.875486381322957,0.860613071139387,"CMCSK",0.584415584415584,0.658008658008658,0.0898352218010527,0.921295736262174
"89",2009-05-11,0.856586992773763,0.838635049161365,"CMCSK",0.19047619047619,0.173160173160173,0.698554930442634,0.248742182035818
"90",2009-05-12,0.84491384102279,0.822440717177559,"CMCSK",0.281385281385281,0.207792207792208,0.938580780865156,0.0437312350988557
"91",2009-05-13,0.831573096164536,0.814921920185078,"CMCSK",0.238095238095238,0.372294372294372,0.0142401370483276,0.978841247746706
"92",2009-05-14,0.826014452473597,0.803932909196067,"CMCSK",0.441558441558442,0.285714285714286,0.982737633119131,0.0128589295989456
"93",2009-05-15,0.801556420233463,0.780798149219202,"CMCSK",0.142857142857143,0.155844155844156,0.268683335100886,0.671469285501101
"94",2009-05-18,0.842690383546415,0.820127241179873,"CMCSK",0.943722943722944,0.939393939393939,0.698534767468832,0.380070916835935
"95",2009-05-19,0.833796553640912,0.809716599190283,"CMCSK",0.337662337662338,0.294372294372294,0.822239061397941,0.153453886819843
"96",2009-05-20,0.82657031684269,0.798727588201272,"CMCSK",0.376623376623377,0.285714285714286,0.945113805001193,0.043594694657884
"97",2009-05-21,0.803224013340745,0.781954887218045,"CMCSK",0.155844155844156,0.199134199134199,0.077383153791569,0.891514356980143
"98",2009-05-22,0.790439132851584,0.770965876229034,"CMCSK",0.238095238095238,0.281385281385281,0.1276544306858,0.843001267844529
"99",2009-05-26,0.816008893829906,0.795257374204743,"CMCSK",0.857142857142857,0.852813852813853,0.606642670030743,0.460061074864829
"100",2009-05-27,0.794886047804336,0.771544245228456,"CMCSK",0.168831168831169,0.134199134199134,0.872445996110002,0.0907994452687962
"101",2009-05-28,0.788771539744302,0.772122614227877,"CMCSK",0.406926406926407,0.536796536796537,0.0278932003946523,0.970749425225316
"102",2009-05-29,0.765425236242357,0.75187969924812,"CMCSK",0.142857142857143,0.168831168831169,0.146025609108811,0.808215186793026
"103",2009-06-01,0.773763201778766,0.759398496240602,"CMCSK",0.662337662337662,0.675324675324675,0.394118150317391,0.636901560406899
"104",2009-06-02,0.803779877709839,0.797570850202429,"CMCSK",0.887445887445887,0.939393939393939,0.0228616942594351,0.990473115139103
"105",2009-06-03,0.788771539744302,0.775592828224407,"CMCSK",0.220779220779221,0.16017316017316,0.934990673064737,0.043270924487508
"106",2009-06-04,0.804335742078933,0.790052053209948,"CMCSK",0.792207792207792,0.792207792207792,0.527842222014438,0.527842222014438
"107",2009-06-05,0.784324624791551,0.770387507229613,"CMCSK",0.168831168831169,0.173160173160173,0.404718442698421,0.533247695501512
"108",2009-06-08,0.797665369649806,0.791208791208791,"CMCSK",0.761904761904762,0.83982683982684,0.0412964658915796,0.9744319631275
"109",2009-06-09,0.800444691495275,0.794679005205321,"CMCSK",0.571428571428571,0.606060606060606,0.241483947895923,0.772323580734848
"110",2009-06-10,0.794330183435242,0.784268363215732,"CMCSK",0.406926406926407,0.285714285714286,0.969646686514866,0.0232588162391652
"111",2009-06-11,0.806559199555309,0.802776171197224,"CMCSK",0.735930735930736,0.826839826839827,0.0337778178169716,0.979206018872715
"112",2009-06-12,0.797665369649806,0.794100636205899,"CMCSK",0.329004329004329,0.316017316017316,0.606678750387792,0.360745309236713
"113",2009-06-15,0.768204558087827,0.762868710237131,"CMCSK",0.103896103896104,0.0822510822510823,0.859470705158853,0.0958093987513708
"114",2009-06-16,0.752084491384102,0.75187969924812,"CMCSK",0.199134199134199,0.272727272727273,0.0410509938074681,0.94123738547863
"115",2009-06-17,0.770428015564202,0.768652400231348,"CMCSK",0.826839826839827,0.818181818181818,0.652087447680979,0.407048653818961
"116",2009-06-18,0.770983879933296,0.766338924233661,"CMCSK",0.532467532467532,0.497835497835498,0.760406598366984,0.241977630452557
"117",2009-06-19,0.770983879933296,0.759976865240023,"CMCSK",0.528138528138528,0.376623376623377,0.979838288415887,0.0183610922190347
"118",2009-06-22,0.757087270705948,0.743782533256217,"CMCSK",0.229437229437229,0.199134199134199,0.792206191339621,0.167725058929048
"119",2009-06-23,0.766536964980545,0.766338924233661,"CMCSK",0.688311688311688,0.852813852813853,0.00879465585064021,0.996125258443833
"120",2009-06-24,0.768760422456921,0.77674956622325,NA,0.571428571428571,0.718614718614719,0.0195103725981261,0.985534486457698
"121",2009-06-25,0.798221234018899,0.804511278195489,NA,0.887445887445887,0.874458874458874,0.767413996724163,0.294568287934978
"122",2009-06-26,0.790439132851584,0.804511278195489,NA,0.350649350649351,0.532467532467532,0.0110390803552709,0.987326060566313
"123",2009-06-29,0.798221234018899,0.80508964719491,NA,0.658008658008658,0.536796536796537,0.971508781204506,0.0334181804247967
"124",2009-06-30,0.803779877709839,0.8155002891845,NA,0.623376623376623,0.714285714285714,0.0548861949988068,0.956405305342116
"125",2009-07-01,0.804335742078933,0.80855986119144,NA,0.532467532467532,0.376623376623377,0.981208550275757,0.0171449982438788
