"","X1","WSBC","GHL","long_distance","Fx","Fy","MI_X","MI_Y"
"76",2009-04-22,0.830278592375366,1.18400923654207,"WSBC",0.168831168831169,0.683982683982684,0.0940263990954388,0.871996929132062
"77",2009-04-23,0.728739002932551,1.12599220666763,"WSBC",0,0.108225108225108,1e-10,0.981133495372014
"78",2009-04-24,0.730938416422287,1.1384038100736,"WSBC",0.571428571428571,0.640692640692641,0.52125837229925,0.656109235892732
"79",2009-04-27,0.710410557184751,1.10549862895079,"WSBC",0.238095238095238,0.251082251082251,0.329749099660359,0.35600849217763
"80",2009-04-28,0.723973607038123,1.09943714821764,"WSBC",0.688311688311688,0.463203463203463,0.770472296473528,0.358180189132421
"81",2009-04-29,0.763196480938416,1.14215615528936,"WSBC",0.9004329004329,0.822510822510823,0.845091850550962,0.566790118926923
"82",2009-04-30,0.729105571847507,1.11892047914562,"WSBC",0.125541125541126,0.324675324675325,0.141044598404166,0.541739680617621
"83",2009-05-01,0.709310850439883,1.09683937076057,"WSBC",0.251082251082251,0.329004329004329,0.306353107351918,0.455895541966288
"84",2009-05-04,0.746700879765396,1.13436282291817,"WSBC",0.891774891774892,0.800865800865801,0.847252175081254,0.546875779266264
"85",2009-05-05,0.707844574780059,1.11819887429644,"WSBC",0.103896103896104,0.363636363636364,0.104317088504721,0.609864371343052
"86",2009-05-06,0.722140762463343,1.13248665031029,"WSBC",0.705627705627706,0.658008658008658,0.680627100758092,0.579048281144659
"87",2009-05-07,0.68841642228739,1.11762159041709,"WSBC",0.121212121212121,0.372294372294372,0.122840631921069,0.604729644182104
"88",2009-05-08,0.730205278592375,1.17260787992495,"WSBC",0.922077922077922,0.891774891774892,0.812042256346254,0.664193959315455
"89",2009-05-11,0.685483870967742,1.12238418242171,"WSBC",0.0692640692640693,0.125541125541126,0.128459550180813,0.299111830636774
"90",2009-05-12,0.662756598240469,1.08038678019916,"WSBC",0.181818181818182,0.16017316017316,0.303335462029356,0.253515732008697
"91",2009-05-13,0.61400293255132,1.0215038245057,"WSBC",0.0303030303030303,0.0822510822510823,0.0693209076436719,0.295316287714098
"92",2009-05-14,0.635630498533724,1.01818444219945,"WSBC",0.822510822510823,0.484848484848485,0.89763848478552,0.267498487208326
"93",2009-05-15,0.616202346041056,1.0121229614663,"WSBC",0.207792207792208,0.463203463203463,0.195734740114934,0.649885811268035
"94",2009-05-18,0.653958944281525,1.0523885120508,"WSBC",0.922077922077922,0.831168831168831,0.87975682143546,0.526048502141144
"95",2009-05-19,0.605938416422287,1.02713234232934,"WSBC",0.0303030303030303,0.298701298701299,0.0283687044035783,0.637776567567579
"96",2009-05-20,0.575513196480938,1.01024678885842,"WSBC",0.112554112554113,0.350649350649351,0.117719981463121,0.586240229040626
"97",2009-05-21,0.579912023460411,1.01298888728532,"WSBC",0.606060606060606,0.536796536796537,0.634872309614913,0.503645973106899
"98",2009-05-22,0.559384164222874,1.01746283735027,"WSBC",0.16017316017316,0.554112554112554,0.119281436644608,0.769650175282227
"99",2009-05-26,0.613636363636364,1.05296579593015,"WSBC",0.965367965367965,0.805194805194805,0.967432545256509,0.311340609846797
"100",2009-05-27,0.571847507331378,1.04762592004618,"WSBC",0.0562770562770563,0.467532467532468,0.0403573390364901,0.76177753038214
"101",2009-05-28,0.583211143695015,1.04618271034781,"WSBC",0.696969696969697,0.497835497835498,0.763997611965995,0.390073153333748
"102",2009-05-29,0.602272727272727,1.06075912830134,"WSBC",0.796536796536797,0.675324675324675,0.790200045077392,0.508952745305446
"103",2009-06-01,0.61400293255132,1.10636455476981,"WSBC",0.692640692640693,0.852813852813853,0.454877363692703,0.855725697391656
