"","X1","BBGI","ANF","long_distance","Fx","Fy","MI_X","MI_Y"
"108",2009-06-08,1.14146341463415,1.13793103448276,NA,0.54978354978355,0.753246753246753,0.561684310918752,0.782241578232406
"109",2009-06-09,1.22926829268293,1.14490968801314,NA,0.883116883116883,0.649350649350649,0.909490921668089,0.652408344066696
"110",2009-06-10,1.21951219512195,1.12027914614122,NA,0.432900432900433,0.316017316017316,0.420105090550062,0.292141260270608
"111",2009-06-11,1.22439024390244,1.09195402298851,NA,0.58008658008658,0.242424242424242,0.57578039577229,0.216919583239222
"112",2009-06-12,1.22439024390244,1.13218390804598,NA,0.54978354978355,0.865800865800866,0.560984750792607,0.895678860489722
"113",2009-06-15,1.09756097560976,1.11042692939245,NA,0.103896103896104,0.337662337662338,0.0791500937646061,0.338285116037963
"114",2009-06-16,1.05853658536585,1.05911330049261,NA,0.294372294372294,0.108225108225108,0.297384526050821,0.0855854834277384
"115",2009-06-17,1.05853658536585,1.10714285714286,NA,0.54978354978355,0.904761904761905,0.559752080513326,0.931389981378232
"116",2009-06-18,1.04878048780488,1.08743842364532,NA,0.415584415584416,0.359307359307359,0.401409938553748,0.33957604271062
"117",2009-06-19,1.22439024390244,1.06773399014778,"ANF",0.948051948051948,0.354978354978355,0.964984988062431,0.403499281682675
"118",2009-06-22,1.22439024390244,1.05377668308703,"ANF",0.54978354978355,0.38961038961039,0.55212073407465,0.376953712498235
"119",2009-06-23,1.07824390243902,1.03325123152709,"ANF",0.0865800865800866,0.333333333333333,0.0638010214426789,0.338792389565131
"120",2009-06-24,0.878048780487805,1.06691297208539,NA,0.0432900432900433,0.848484848484849,0.0423061114974567,0.774941882859028
"121",2009-06-25,1.3219512195122,1.07142857142857,"ANF",0.987012987012987,0.619047619047619,0.993960243393477,0.58887786708637
"122",2009-06-26,1.2390243902439,1.07389162561576,"ANF",0.173160173160173,0.597402597402597,0.145951369960784,0.585777248757493
"123",2009-06-29,1.02926829268293,1.06978653530378,NA,0.051948051948052,0.502164502164502,0.0325155074149559,0.483267016423185
"124",2009-06-30,1.06829268292683,1.04228243021346,NA,0.783549783549784,0.242424242424242,0.792068881907219,0.240104852518674
"125",2009-07-01,1.0780487804878,1.04392446633826,NA,0.61038961038961,0.593073593073593,0.626928031457809,0.607881910854621
