"","X1","INCY","DLLR","long_distance","Fx","Fy","MI_X","MI_Y"
"64",2009-04-03,0.620779220779221,0.969523809523809,"INCY",0.558441558441558,0.359307359307359,0.634457838252669,0.274077598272119
"65",2009-04-06,0.592207792207792,0.875238095238095,"INCY",0.177489177489178,0.0173160173160173,0.796412320018769,0.0115702038381035
"66",2009-04-07,0.574025974025974,0.803809523809524,"INCY",0.233766233766234,0.038961038961039,0.731540577793531,0.0279949976882367
"67",2009-04-08,0.602597402597403,0.834285714285714,"INCY",0.878787878787879,0.835497835497836,0.805793548593277,0.685466531945896
"68",2009-04-09,0.688311688311688,0.876190476190476,"INCY",0.987012987012987,0.891774891774892,0.981818191981424,0.439441389884085
"69",2009-04-13,0.644155844155844,0.89047619047619,"INCY",0.116883116883117,0.696969696969697,0.0316397701826323,0.906584660026735
"70",2009-04-14,0.602597402597403,0.876190476190476,"INCY",0.116883116883117,0.380952380952381,0.0781827306508643,0.683464398567435
"71",2009-04-15,0.597402597402597,0.968571428571429,"INCY",0.432900432900433,0.987012987012987,0.0891693777395432,0.996225702009472
"72",2009-04-16,0.592207792207792,1.01047619047619,"INCY",0.432900432900433,0.87012987012987,0.200662345729673,0.918310847474363
"73",2009-04-17,0.581818181818182,0.947619047619048,"INCY",0.337662337662338,0.0865800865800866,0.697150617512883,0.0578186830224407
"74",2009-04-20,0.535064935064935,0.834285714285714,"INCY",0.0779220779220779,0.012987012987013,0.6686208704706,0.0258100756920987
"75",2009-04-21,0.558441558441558,0.856190476190476,"INCY",0.852813852813853,0.792207792207792,0.791464797094773,0.643283007357424
"76",2009-04-22,0.545454545454545,0.854285714285714,"INCY",0.294372294372294,0.523809523809524,0.216971694488892,0.641030341389768
"77",2009-04-23,0.535064935064935,0.872380952380952,"INCY",0.316017316017316,0.74025974025974,0.158096965254122,0.840131800968914
"78",2009-04-24,0.563636363636364,0.917142857142857,"INCY",0.891774891774892,0.891774891774892,0.775250440746511,0.775250440746511
"79",2009-04-27,0.563636363636364,0.874285714285714,"INCY",0.558441558441558,0.138528138528139,0.807298431159318,0.0606338761334029
"80",2009-04-28,0.571428571428572,0.851428571428571,"INCY",0.670995670995671,0.281385281385281,0.79594820975329,0.150339492485208
"81",2009-04-29,0.605194805194805,0.980952380952381,"INCY",0.909090909090909,0.995670995670996,0.331444338490273,0.994837278507432
"82",2009-04-30,0.612987012987013,0.961904761904762,"INCY",0.666666666666667,0.359307359307359,0.751555446274294,0.226285081080809
"83",2009-05-01,0.594805194805195,0.975238095238095,"INCY",0.246753246753247,0.67965367965368,0.118595805272351,0.821702928298996
"84",2009-05-04,0.638961038961039,1.00857142857143,"INCY",0.943722943722944,0.826839826839827,0.924031241827358,0.548058957461652
"85",2009-05-05,0.633766233766234,1.04857142857143,"INCY",0.437229437229437,0.844155844155844,0.219506644318607,0.894929039799727
"86",2009-05-06,0.641558441558442,1.07619047619048,"INCY",0.666666666666667,0.792207792207792,0.51486865897853,0.765879022027685
"87",2009-05-07,0.636363636363636,1.03142857142857,"INCY",0.437229437229437,0.168831168831169,0.667423270382239,0.115210325370169
"88",2009-05-08,0.65974025974026,1.03619047619048,"INCY",0.835497835497836,0.61038961038961,0.842186947976186,0.407707386379317
"89",2009-05-11,0.779220779220779,1.0047619047619,"INCY",1,0.229437229437229,0.9999999999,5.08320900296765e-05
"90",2009-05-12,0.755844155844156,0.991428571428571,"INCY",0.242424242424242,0.411255411255411,0.209186962123039,0.556877224120387
"91",2009-05-13,0.722077922077922,0.964761904761905,"INCY",0.186147186147186,0.272727272727273,0.218095945246114,0.439276816938197
"92",2009-05-14,0.724675324675325,0.971428571428571,"INCY",0.588744588744589,0.623376623376623,0.518586956700183,0.582292754023144
"93",2009-05-15,0.664935064935065,0.971428571428571,"INCY",0.0735930735930736,0.558441558441558,0.0208645890382888,0.878422592233445
"94",2009-05-18,0.724675324675325,0.962857142857143,"INCY",0.952380952380952,0.45021645021645,0.977735606958797,0.149816852715414
"95",2009-05-19,0.727272727272727,0.958095238095238,"INCY",0.588744588744589,0.510822510822511,0.580984300816986,0.439472444008961
"96",2009-05-20,0.719480519480519,0.962857142857143,"INCY",0.406926406926407,0.61038961038961,0.303394376586268,0.664941038165401
"97",2009-05-21,0.675324675324675,0.946666666666667,"INCY",0.121212121212121,0.372294372294372,0.0851168455092183,0.667131621127561
"98",2009-05-22,0.696103896103896,0.939047619047619,"INCY",0.792207792207792,0.458874458874459,0.839451959344453,0.2690751299069
"99",2009-05-26,0.763636363636364,0.972380952380952,"INCY",0.956709956709957,0.831168831168831,0.944080306879604,0.514266477408404
"100",2009-05-27,0.768831168831169,0.942857142857143,"INCY",0.601731601731602,0.229437229437229,0.766756341458523,0.124739572094779
"101",2009-05-28,0.761038961038961,0.937142857142857,"INCY",0.406926406926407,0.476190476190476,0.37470848655166,0.504619803965511
"102",2009-05-29,0.854545454545454,0.959047619047619,"INCY",0.965367965367965,0.761904761904762,0.968625133354256,0.387134034813727
"103",2009-06-01,0.92987012987013,0.967619047619048,"INCY",0.948051948051948,0.649350649350649,0.961283530692392,0.313247415106221
"104",2009-06-02,0.950649350649351,1.03619047619048,"INCY",0.727272727272727,0.926406926406926,0.443238147829606,0.925569663994305
"105",2009-06-03,0.909090909090909,1.04952380952381,"INCY",0.194805194805195,0.67965367965368,0.0795955010275877,0.85039878690847
"106",2009-06-04,0.903896103896104,1.15047619047619,"INCY",0.458874458874459,0.965367965367965,0.139077463215372,0.985163382702073
"107",2009-06-05,0.997402597402597,1.17619047619048,"INCY",0.965367965367965,0.748917748917749,0.969989077656003,0.372099583862824
"108",2009-06-08,0.888311688311688,1.19619047619048,"INCY",0.0432900432900433,0.714285714285714,0.00521811560369107,0.960823573606556
