"","X1","BWS","HOG","long_distance","Fx","Fy","MI_X","MI_Y"
"71",2009-04-15,0.618885096700796,0.930978260869565,"BWS",0.917748917748918,0.16017316017316,0.993350021019405,0.0131597437785472
"72",2009-04-16,0.675767918088737,0.984239130434783,"BWS",0.943722943722944,0.926406926406926,0.78611926615895,0.631550045117297
"73",2009-04-17,0.689419795221843,1.02826086956522,"BWS",0.705627705627706,0.904761904761905,0.244955157711849,0.933365157049012
"74",2009-04-20,0.568828213879409,0.956521739130435,"BWS",0.012987012987013,0.0476190476190476,0.0485653793997695,0.605013235962614
"75",2009-04-21,0.65415244596132,0.989130434782609,"BWS",0.974025974025974,0.87012987012987,0.969601762704193,0.263944558839634
"76",2009-04-22,0.713310580204778,1.03967391304348,"BWS",0.943722943722944,0.917748917748918,0.811415922886035,0.592265645429336
"77",2009-04-23,0.650739476678043,1.04347826086957,"BWS",0.0562770562770563,0.575757575757576,0.00776795911551919,0.950693165639171
"78",2009-04-24,0.678043230944255,1.11086956521739,"BWS",0.800865800865801,0.943722943722944,0.277394811919103,0.946519164254807
"79",2009-04-27,0.616609783845279,1.0570652173913,"BWS",0.051948051948052,0.108225108225108,0.119061610605697,0.530498043811392
"80",2009-04-28,0.645051194539249,1.06467391304348,"BWS",0.822510822510823,0.632034632034632,0.867390273956169,0.287857134214148
"81",2009-04-29,0.674630261660978,1.14619565217391,"BWS",0.822510822510823,0.974025974025974,0.193599031106814,0.981935317576203
"82",2009-04-30,0.731513083048919,1.20434782608696,"BWS",0.939393939393939,0.917748917748918,0.792555939763553,0.613633875116998
"83",2009-05-01,0.748577929465302,1.1695652173913,"BWS",0.727272727272727,0.216450216450216,0.948808295687823,0.042091535925087
"84",2009-05-04,0.778156996587031,1.19402173913043,"BWS",0.796536796536797,0.757575757575758,0.696408386503858,0.54868176048508
"85",2009-05-05,0.796359499431172,1.17173913043478,"BWS",0.727272727272727,0.307359307359307,0.925085631655591,0.082216293557372
"86",2009-05-06,0.766780432309443,1.14945652173913,"BWS",0.225108225108225,0.307359307359307,0.261930389035924,0.541032862914731
"87",2009-05-07,0.733788395904437,1.0679347826087,"BWS",0.212121212121212,0.0476190476190476,0.769041608835277,0.0364195481485974
"88",2009-05-08,0.757679180887372,1.09782608695652,"BWS",0.770562770562771,0.831168831168831,0.509427996381447,0.751848661267042
"89",2009-05-11,0.736063708759955,1.03423913043478,"BWS",0.285714285714286,0.0649350649350649,0.805994424273716,0.036508615345025
"90",2009-05-12,0.693970420932878,1.01086956521739,"BWS",0.142857142857143,0.25974025974026,0.161581978309623,0.60539314542587
"91",2009-05-13,0.65415244596132,0.932065217391304,"BWS",0.138528138528139,0.0432900432900433,0.660013529014616,0.0625448609755966
"92",2009-05-14,0.706484641638225,0.935326086956522,"BWS",0.930735930735931,0.575757575757576,0.980482117473877,0.106574179144744
"93",2009-05-15,0.709897610921502,0.95,"BWS",0.584415584415584,0.731601731601732,0.345377799518993,0.776590522956352
"94",2009-05-18,0.756541524459613,0.999456521739131,"BWS",0.913419913419913,0.917748917748918,0.683718057389557,0.715411278782176
"95",2009-05-19,0.76905574516496,0.983152173913044,"BWS",0.67965367965368,0.329004329004329,0.886658021335869,0.115550832251531
"96",2009-05-20,0.717861205915813,0.953260869565217,"BWS",0.0909090909090909,0.19047619047619,0.124842617772861,0.597212686766925
"97",2009-05-21,0.718998862343572,0.910326086956522,"BWS",0.532467532467532,0.116883116883117,0.907514106737839,0.0301098389568546
"98",2009-05-22,0.712172923777019,0.894565217391304,"BWS",0.432900432900433,0.32034632034632,0.614015045158287,0.285572425835586
"99",2009-05-26,0.799772468714448,0.928260869565217,"BWS",0.974025974025974,0.887445887445887,0.961705121105931,0.300719667184643
"100",2009-05-27,0.805460750853242,0.885869565217391,"BWS",0.606060606060606,0.116883116883117,0.935773811456451,0.0226826247702662
"101",2009-05-28,0.927189988623436,0.894021739130435,NA,0.974025974025974,0.645021645021645,0.994515410958695,0.0839440516302107
"102",2009-05-29,0.923777019340159,0.922282608695652,NA,0.480519480519481,0.852813852813853,0.118300950164776,0.952237820994087
"103",2009-06-01,1.01251422070535,1.00271739130435,NA,0.943722943722944,0.982683982683983,0.411335916694888,0.941309366527602
"104",2009-06-02,1.02389078498294,1.03478260869565,NA,0.632034632034632,0.852813852813853,0.244345190800068,0.904714896618842
"105",2009-06-03,1.02389078498294,0.993478260869565,NA,0.510822510822511,0.147186147186147,0.876541531797721,0.04953428122742
