"","X1","ISCA","TMK","long_distance","Fx","Fy","MI_X","MI_Y"
"73",2009-04-17,0.696018893387314,0.71864557807975,NA,0.917748917748918,0.796536796536797,0.888128071055615,0.468180651634652
"74",2009-04-20,0.686572199730095,0.645578079750501,NA,0.203463203463203,0.0173160173160173,0.927447348473676,0.00356054907909431
"75",2009-04-21,0.743252361673414,0.708843840498998,NA,1,0.978354978354978,0.9999999999,4.27782259826426e-06
"76",2009-04-22,0.75,0.677433726887948,NA,0.70995670995671,0.0735930735930736,0.970037861098092,0.00675094786095465
"77",2009-04-23,0.751012145748988,0.58543105368679,"TMK",0.558441558441558,0.00432900432900433,0.996481885267117,3.40767531671338e-05
"78",2009-04-24,0.76889338731444,0.593227890398752,"TMK",0.896103896103896,0.766233766233766,0.868841109096831,0.465528680879806
"79",2009-04-27,0.755398110661269,0.583871686344397,"TMK",0.164502164502165,0.216450216450216,0.227732185000767,0.43782052934627
"80",2009-04-28,0.76417004048583,0.603697928269102,"TMK",0.766233766233766,0.909090909090909,0.437610101440341,0.890125678661199
"81",2009-04-29,0.782726045883941,0.642013811539318,"TMK",0.904761904761905,0.965367965367965,0.5290141055396,0.915407987770959
"82",2009-04-30,0.798920377867746,0.653374916462464,"TMK",0.878787878787879,0.813852813852814,0.802105123450715,0.584800161944969
"83",2009-05-01,0.772267206477733,0.655602584094453,"TMK",0.0865800865800866,0.58008658008658,0.0140903852330857,0.929222894127665
"84",2009-05-04,0.812678812415655,0.708843840498998,"TMK",0.987012987012987,0.96969696969697,0.909457285029092,0.621388162734577
"85",2009-05-05,0.800269905533063,0.690799732679884,"TMK",0.186147186147186,0.147186147186147,0.413328836566671,0.235469717717148
"86",2009-05-06,0.836369770580297,0.738471820004455,"TMK",0.974025974025974,0.965367965367965,0.833706317364011,0.729558552809804
"87",2009-05-07,0.793859649122807,0.746714190242816,"TMK",0.025974025974026,0.735930735930736,0.000743064680405969,0.991411793506708
"88",2009-05-08,0.836032388663968,0.844954332813544,NA,0.987012987012987,0.995670995670996,0.588473781566513,0.93545647496404
"89",2009-05-11,0.807692307692308,0.782356872354645,NA,0.0865800865800866,0.0432900432900433,0.568172750599074,0.10656568446628
"90",2009-05-12,0.78778677462888,0.797727779015371,NA,0.12987012987013,0.818181818181818,0.0144326888991365,0.976143663053179
"91",2009-05-13,0.737179487179487,0.762307863666741,NA,0.012987012987013,0.0735930735930736,0.0146822462517455,0.838029253476245
"92",2009-05-14,0.761808367071525,0.790822009356204,NA,0.943722943722944,0.922077922077922,0.82005613657567,0.687233851208068
"93",2009-05-15,0.766531713900135,0.787257741145021,NA,0.653679653679654,0.437229437229437,0.732957104506409,0.280594335752788
"94",2009-05-18,0.791835357624831,0.844954332813544,NA,0.939393939393939,0.965367965367965,0.653284794654682,0.86563572361973
"95",2009-05-19,0.793859649122807,0.811984851860102,NA,0.584415584415584,0.0909090909090909,0.927060481167591,0.0153437846022706
"96",2009-05-20,0.775303643724696,0.814212519492092,NA,0.147186147186147,0.558441558441558,0.0438348680404373,0.865484705977896
"97",2009-05-21,0.759109311740891,0.807975050122522,NA,0.155844155844156,0.367965367965368,0.0958794474729362,0.695210840503647
"98",2009-05-22,0.757422402159244,0.80842058364892,NA,0.458874458874459,0.532467532467532,0.393680774363727,0.557512730722646
"99",2009-05-26,0.777327935222672,0.836266429048786,NA,0.917748917748918,0.909090909090909,0.766019055845239,0.722506177887424
"100",2009-05-27,0.779352226720648,0.81666295388728,NA,0.584415584415584,0.155844155844156,0.873144593411125,0.0453968038275647
"101",2009-05-28,0.813090418353576,0.877701047003787,NA,0.974025974025974,0.965367965367965,0.833706317364011,0.729558552809804
"102",2009-05-29,0.836369770580297,0.894631321006906,NA,0.930735930735931,0.818181818181818,0.899076583707801,0.471929960648444
"103",2009-06-01,0.872132253711201,0.904878592114057,NA,0.974025974025974,0.748917748917749,0.983713514191641,0.208416960240923
"104",2009-06-02,0.866734143049933,0.901314323902874,NA,0.363636363636364,0.437229437229437,0.332942899221882,0.509273530632788
"105",2009-06-03,0.879217273954116,0.86255290710626,NA,0.792207792207792,0.0735930735930736,0.983423001836473,0.00504475642221558
"106",2009-06-04,0.874156545209177,0.894185787480508,NA,0.380952380952381,0.922077922077922,0.0737435572648244,0.979947656390821
"107",2009-06-05,0.887989203778677,0.8750278458454,NA,0.826839826839827,0.168831168831169,0.970961451366997,0.0237584674128789
"108",2009-06-08,0.885964912280702,0.87703274671419,NA,0.458874458874459,0.54978354978355,0.380633825160115,0.581584657798112
"109",2009-06-09,0.889676113360324,0.878592114056583,NA,0.606060606060606,0.541125541125541,0.595320128812581,0.45222626886757
"110",2009-06-10,0.886302294197031,0.878592114056583,NA,0.432900432900433,0.519480519480519,0.367272909480793,0.561309088385413
"111",2009-06-11,0.882928475033738,0.875918912898196,NA,0.432900432900433,0.445887445887446,0.426263548147029,0.456433144333305
"112",2009-06-12,0.878205128205128,0.852973936288706,NA,0.393939393939394,0.138528138528139,0.752883448267571,0.0688735951784322
"113",2009-06-15,0.881578947368421,0.830028959679216,NA,0.597402597402597,0.134199134199134,0.897551534386678,0.0323446480265992
"114",2009-06-16,0.879217273954116,0.797505012252172,"TMK",0.458874458874459,0.0909090909090909,0.874356763699469,0.0233394495936365
"115",2009-06-17,0.884615384615385,0.796613945199376,"TMK",0.653679653679654,0.506493506493506,0.685955844190514,0.368209615348424
"116",2009-06-18,0.89642375168691,0.818445087992872,"TMK",0.774891774891775,0.87012987012987,0.52884850866946,0.818833534547229
"117",2009-06-19,0.889001349527665,0.822454889730452,"TMK",0.303030303030303,0.601731601731602,0.159336310584562,0.769936745575848
"118",2009-06-22,0.876180836707152,0.788817108487414,"TMK",0.19047619047619,0.0865800865800866,0.618482429790517,0.0947929852198234
"119",2009-06-23,0.862685560053981,0.79371797727779,"TMK",0.186147186147186,0.632034632034632,0.0562072540637018,0.878705630879981
"120",2009-06-24,0.870107962213225,0.813989752728893,"TMK",0.70995670995671,0.857142857142857,0.445173323612143,0.840168802593005
"121",2009-06-25,0.875843454790823,0.831811093784807,"TMK",0.662337662337662,0.831168831168831,0.412311824976535,0.829018750396389
"122",2009-06-26,0.879217273954116,0.823123190020049,"TMK",0.597402597402597,0.316017316017316,0.755522390577183,0.17454810873796
"123",2009-06-29,0.879554655870445,0.834707061706393,"TMK",0.519480519480519,0.770562770562771,0.293937770623277,0.823787876498981
"124",2009-06-30,0.864372469635628,0.825128090888839,"TMK",0.168831168831169,0.298701298701299,0.151623145724661,0.577016447040936
"125",2009-07-01,0.875506072874494,0.819781688572065,"TMK",0.774891774891775,0.385281385281385,0.884374961136159,0.157564421494509
