,INCY,DLLR
2008-09-16,0.7653721682847897,0.6970746728252502
2008-09-17,0.6877022653721683,0.6412625096227867
2008-09-18,0.726537216828479,0.6516551193225558
2008-09-19,0.7338187702265373,0.7217090069284064
2008-09-22,0.6982200647249192,0.7001539645881447
2008-09-23,0.6949838187702265,0.6250962278675903
2008-09-24,0.6440129449838188,0.6301000769822941
2008-09-25,0.6488673139158576,0.6027713625866051
2008-09-26,0.6456310679611651,0.6416474210931487
2008-09-29,0.6124595469255664,0.5954580446497306
2008-09-30,0.6189320388349515,0.5923787528868361
2008-10-01,0.5995145631067962,0.5796766743648961
2008-10-02,0.5355987055016181,0.5508083140877599
2008-10-03,0.5412621359223302,0.5038491147036182
2008-10-06,0.46885113268608414,0.4822940723633564
2008-10-07,0.42880258899676377,0.49037721324095457
2008-10-08,0.4085760517799353,0.47882986913010006
2008-10-09,0.37459546925566345,0.4434180138568129
2008-10-10,0.3567961165048544,0.46458814472671284
2008-10-13,0.4093851132686084,0.5019245573518091
2008-10-14,0.4037216828478965,0.49230177059276364
2008-10-15,0.35436893203883496,0.42609699769053117
2008-10-16,0.4045307443365696,0.4699769053117783
2008-10-17,0.39563106796116504,0.4353348729792148
2008-10-20,0.4619741100323625,0.43879907621247116
2008-10-21,0.459546925566343,0.4414934565050039
2008-10-22,0.436084142394822,0.42917628945342573
2008-10-23,0.4037216828478965,0.39068514241724406
2008-10-24,0.37459546925566345,0.3695150115473441
2008-10-27,0.30258899676375406,0.35912240184757505
2008-10-28,0.3114886731391586,0.3548883756735951
2008-10-29,0.3033980582524272,0.33410315627405696
2008-10-30,0.3414239482200647,0.3810623556581986
2008-10-31,0.3357605177993528,0.44765204003079295
2008-11-03,0.35194174757281554,0.4572748267898384
2008-11-04,0.34304207119741104,0.45573518090839105
2008-11-05,0.30906148867313915,0.4341801385681293
2008-11-06,0.32281553398058255,0.4214780600461893
2008-11-07,0.35517799352750806,0.4064665127020785
2008-11-10,0.33414239482200647,0.38529638183217857
2008-11-11,0.33414239482200647,0.3625866050808314
2008-11-12,0.29692556634304207,0.32909930715935337
2008-11-13,0.3357605177993528,0.3610469591993842
2008-11-14,0.290453074433657,0.32717474980754424
2008-11-17,0.29611650485436897,0.3244803695150115
2008-11-18,0.27750809061488674,0.29484218629715164
2008-11-19,0.24676375404530745,0.2759815242494226
2008-11-20,0.20145631067961167,0.23941493456505003
2008-11-21,0.22815533980582525,0.2590454195535027
2008-11-24,0.23624595469255663,0.2621247113163972
2008-11-25,0.25485436893203883,0.26982294072363355
2008-11-26,0.26941747572815533,0.2802155504234026
