"","X1","MRO","OKE","long_distance","Fx","Fy","MI_X","MI_Y"
"78",2009-04-24,1.07246376811594,0.831045751633987,"OKE",0.909090909090909,0.835497835497836,0.860445447372596,0.492373937649202
"79",2009-04-27,1.0224292615597,0.845424836601307,"OKE",0.121212121212121,0.835497835497836,0.00625449827988816,0.989412195854842
"80",2009-04-28,1.01138716356108,0.82875816993464,"OKE",0.376623376623377,0.194805194805195,0.671771057106421,0.137407636531913
"81",2009-04-29,1.0527950310559,0.860130718954248,"OKE",0.887445887445887,0.943722943722944,0.479614167670034,0.886939338712641
"82",2009-04-30,1.02484472049689,0.855228758169935,"OKE",0.233766233766234,0.424242424242424,0.159173218773807,0.673677681973909
"83",2009-05-01,1.06418219461698,0.863725490196078,"OKE",0.874458874458874,0.731601731601732,0.878606055542651,0.390833944478147
"84",2009-05-04,1.08109040717736,0.909803921568627,"OKE",0.688311688311688,0.961038961038961,0.127987157832119,0.987631245472692
"85",2009-05-05,1.07073844030366,0.895424836601307,"OKE",0.385281385281385,0.225108225108225,0.633954274796608,0.173418506323302
"86",2009-05-06,1.13008971704624,0.916666666666667,"OKE",0.922077922077922,0.883116883116883,0.82530303385729,0.572402513565312
"87",2009-05-07,1.09247757073844,0.887254901960784,"OKE",0.173160173160173,0.116883116883117,0.492513092162253,0.192180262125664
"88",2009-05-08,1.12353347135956,0.916013071895425,"OKE",0.813852813852814,0.930735930735931,0.366316732526109,0.924547760906586
"89",2009-05-11,1.06866804692892,0.915686274509804,"OKE",0.112554112554113,0.532467532467532,0.0211729180397553,0.916870716887354
"90",2009-05-12,1.06659765355418,0.90718954248366,"OKE",0.515151515151515,0.337662337662338,0.666424391744739,0.23380979176578
"91",2009-05-13,1.00207039337474,0.868300653594771,"OKE",0.0779220779220779,0.0735930735930736,0.335591215306068,0.292579097351277
"92",2009-05-14,1.00379572118703,0.882352941176471,"OKE",0.528138528138528,0.818181818181818,0.222678231205889,0.895704994681881
"93",2009-05-15,0.98792270531401,0.865032679738562,"OKE",0.346320346320346,0.194805194805195,0.629078684300008,0.15780918318696
"94",2009-05-18,1.02795031055901,0.899019607843137,"OKE",0.887445887445887,0.943722943722944,0.479614167670034,0.886939338712641
"95",2009-05-19,1.02484472049689,0.913398692810457,"OKE",0.506493506493506,0.813852813852814,0.205526080883686,0.89880089251439
"96",2009-05-20,1.04830917874396,0.909150326797386,"OKE",0.783549783549784,0.458874458874459,0.886852395703587,0.185961958411463
"97",2009-05-21,1.01483781918565,0.89640522875817,"OKE",0.181818181818182,0.251082251082251,0.22708247049321,0.4920066968096
"98",2009-05-22,1.01552795031056,0.891176470588235,"OKE",0.528138528138528,0.424242424242424,0.597961798450123,0.343595522540662
"99",2009-05-26,1.03416149068323,0.926797385620915,"OKE",0.735930735930736,0.948051948051948,0.201449207533652,0.973123443848666
"100",2009-05-27,1.00897170462388,0.908823529411765,"OKE",0.242424242424242,0.199134199134199,0.438227389408215,0.273552911277664
"101",2009-05-28,1.07004830917874,0.92843137254902,"OKE",0.930735930735931,0.852813852813853,0.893628698720361,0.448933212955556
"102",2009-05-29,1.10006901311249,0.957516339869281,"OKE",0.805194805194805,0.930735930735931,0.350915266794477,0.929458683653795
"103",2009-06-01,1.14975845410628,0.981045751633987,"OKE",0.887445887445887,0.891774891774892,0.692997638974323,0.718447961360622
"104",2009-06-02,1.15286404416839,0.97516339869281,"OKE",0.541125541125541,0.415584415584416,0.624857714192532,0.32019660251652
"105",2009-06-03,1.06935817805383,0.955555555555555,"OKE",0.0562770562770563,0.194805194805195,0.039954093350904,0.783780881654126
"106",2009-06-04,1.08971704623879,0.967647058823529,"OKE",0.74025974025974,0.766233766233766,0.597314630878081,0.678274160853363
"107",2009-06-05,1.09385783298827,0.965032679738562,"OKE",0.567099567099567,0.484848484848485,0.59845144591682,0.398000006167762
"108",2009-06-08,1.11973775017253,0.973529411764706,"OKE",0.783549783549784,0.705627705627706,0.745344344413443,0.510597757941921
"109",2009-06-09,1.12939958592132,0.967647058823529,"OKE",0.623376623376623,0.415584415584416,0.734775241518394,0.255995985111685
"110",2009-06-10,1.1280193236715,0.968627450980392,"OKE",0.519480519480519,0.541125541125541,0.474085324618697,0.527369386689081
"111",2009-06-11,1.13319530710835,0.991503267973856,"OKE",0.593073593073593,0.883116883116883,0.20689366175419,0.94016571060775
"112",2009-06-12,1.11870255348516,0.980392156862745,"OKE",0.363636363636364,0.303030303030303,0.48621396976252,0.312717132267396
"113",2009-06-15,1.08971704623879,0.96797385620915,"OKE",0.233766233766234,0.25974025974026,0.317264889045362,0.408477977997366
"114",2009-06-16,1.08350586611456,0.951960784313725,"OKE",0.445887445887446,0.220779220779221,0.7185375053536,0.13082917958066
"115",2009-06-17,1.06625258799172,0.948366013071895,"OKE",0.346320346320346,0.471861471861472,0.278867868502312,0.597585353623392
"116",2009-06-18,1.06487232574189,0.957516339869281,"OKE",0.519480519480519,0.727272727272727,0.301569193176357,0.79498082530133
"117",2009-06-19,1.05728088336784,0.956535947712418,"OKE",0.428571428571429,0.515151515151515,0.361272315007748,0.574770820027681
"118",2009-06-22,0.992753623188406,0.92516339869281,"OKE",0.0779220779220779,0.112554112554113,0.192806867082128,0.465627026811045
"119",2009-06-23,0.996204278812974,0.916339869281046,"OKE",0.562770562770563,0.329004329004329,0.734076670375078,0.191742784141816
"120",2009-06-24,1.00655624568668,0.919281045751634,"OKE",0.640692640692641,0.593073593073593,0.613661664904027,0.493196735949194
"121",2009-06-25,1.01621808143547,0.957516339869281,"OKE",0.632034632034632,0.948051948051948,0.126209831482944,0.983835449294986
"122",2009-06-26,1.01863354037267,0.948039215686274,"OKE",0.536796536796537,0.329004329004329,0.702807509008101,0.208037492662966
"123",2009-06-29,1.02864044168392,0.962418300653595,"OKE",0.632034632034632,0.805194805194805,0.363472856462716,0.833606188781094
"124",2009-06-30,1.03968253968254,0.963725490196078,"OKE",0.640692640692641,0.54978354978355,0.651374929428344,0.426727241228344
"125",2009-07-01,1.04554865424431,0.986274509803922,"OKE",0.597402597402597,0.883116883116883,0.210869467555432,0.939191378200721
