"","X1","XEL","DTE","long_distance","Fx","Fy","MI_X","MI_Y"
"80",2009-04-28,0.984076433121019,0.776304888152444,"DTE",0.523809523809524,0.329004329004329,0.78153778635274,0.168982423682505
"81",2009-04-29,0.998407643312102,0.789837061585198,"DTE",0.844155844155844,0.883116883116883,0.503217968161411,0.784484146386711
"82",2009-04-30,0.978768577494692,0.816625241645954,"DTE",0.134199134199134,0.952380952380952,0.0224155948483907,0.994769800850853
"83",2009-05-01,0.976114649681529,0.84148025407346,"DTE",0.424242424242424,0.943722943722944,0.05800869484725,0.994738751965416
"84",2009-05-04,0.970276008492569,0.83982325324496,"DTE",0.316017316017316,0.437229437229437,0.233401342077857,0.671856869092965
"85",2009-05-05,0.970806794055202,0.850593758630213,"DTE",0.532467532467532,0.826839826839827,0.138153833209594,0.947405737964065
"86",2009-05-06,0.964437367303609,0.854460093896714,"DTE",0.307359307359307,0.606060606060606,0.100504740343306,0.876302360763292
"87",2009-05-07,0.968683651804671,0.864125932062966,"DTE",0.666666666666667,0.80952380952381,0.294749234347137,0.86631719689861
"88",2009-05-08,0.969214437367304,0.874067937033968,"DTE",0.532467532467532,0.818181818181818,0.144358135664803,0.941769794459285
"89",2009-05-11,0.968152866242038,0.858602595967965,"DTE",0.489177489177489,0.164502164502165,0.87986096831387,0.0432237614808992
"90",2009-05-12,0.970276008492569,0.858326429163215,"DTE",0.593073593073593,0.476190476190476,0.717114723101352,0.310131376722916
"91",2009-05-13,0.950636942675159,0.831262082297708,"DTE",0.134199134199134,0.0822510822510823,0.574088513086521,0.142736751160274
"92",2009-05-14,0.941082802547771,0.826291079812207,"DTE",0.251082251082251,0.350649350649351,0.221207471986553,0.624517073971817
"93",2009-05-15,0.912951167728238,0.813035073184203,"DTE",0.0476190476190476,0.19047619047619,0.022189627062752,0.820174668297795
"94",2009-05-18,0.914543524416136,0.819386909693455,"DTE",0.571428571428571,0.727272727272727,0.2794038906491,0.826250321092489
"95",2009-05-19,0.920912951167728,0.830157415078707,"DTE",0.731601731601732,0.835497835497836,0.355537677197756,0.847492644674382
"96",2009-05-20,0.904989384288747,0.815520574426954,"DTE",0.147186147186147,0.164502164502165,0.299139196407245,0.414947117010061
"97",2009-05-21,0.89755838641189,0.8014360673847,"DTE",0.277056277056277,0.177489177489178,0.631516180436721,0.168316923020246
"98",2009-05-22,0.899150743099788,0.804473902236951,"DTE",0.571428571428571,0.584415584415584,0.508966119315957,0.558475983296247
"99",2009-05-26,0.929405520169851,0.831814415907208,"DTE",0.948051948051948,0.952380952380952,0.644416356601095,0.722290512313036
"100",2009-05-27,0.909766454352442,0.810273405136703,"DTE",0.108225108225108,0.116883116883117,0.302032363483299,0.377488537560172
"101",2009-05-28,0.923036093418259,0.835128417564209,"DTE",0.844155844155844,0.943722943722944,0.253351196982452,0.952698755180375
"102",2009-05-29,0.910297239915074,0.835404584368959,"DTE",0.19047619047619,0.484848484848485,0.0594704796731515,0.861023925820382
"103",2009-06-01,0.943205944798301,0.871582435791218,"DTE",0.961038961038961,0.965367965367965,0.635775520837866,0.739002409146091
"104",2009-06-02,0.937898089171975,0.863849765258216,"DTE",0.329004329004329,0.303030303030303,0.476436969967467,0.366554360803027
"105",2009-06-03,0.934182590233546,0.854460093896714,"DTE",0.385281385281385,0.272727272727273,0.650240284484112,0.218781146858669
"106",2009-06-04,0.928874734607219,0.863021264843966,"DTE",0.329004329004329,0.783549783549784,0.0619341787826678,0.959877645653564
"107",2009-06-05,0.927282377919321,0.870201601767468,"DTE",0.471861471861472,0.731601731601732,0.161307133369734,0.896656621405991
"108",2009-06-08,0.930997876857749,0.862192764429715,"DTE",0.645021645021645,0.298701298701299,0.905208065362323,0.0811715864447718
"109",2009-06-09,0.926220806794055,0.853355426677713,"DTE",0.350649350649351,0.294372294372294,0.541856416257399,0.310223036359456
"110",2009-06-10,0.93895966029724,0.865230599281966,"DTE",0.83982683982684,0.848484848484849,0.614806218558107,0.672951737189114
"111",2009-06-11,0.954883227176221,0.870753935376968,"DTE",0.878787878787879,0.688311688311688,0.942561117637457,0.206540150159347
"112",2009-06-12,0.968152866242038,0.882629107981221,"DTE",0.83982683982684,0.844155844155844,0.628870098249467,0.657667446335002
"113",2009-06-15,0.947452229299363,0.862745098039216,"DTE",0.108225108225108,0.12987012987013,0.255887449048014,0.433999155783247
"114",2009-06-16,0.948513800424629,0.860811930405965,"DTE",0.54978354978355,0.432900432900433,0.699386900101728,0.293793127888346
"115",2009-06-17,0.952229299363057,0.865782932891466,"DTE",0.640692640692641,0.658008658008658,0.529159055946538,0.599278451963436
