"","X1","BTU","SFY","long_distance","Fx","Fy","MI_X","MI_Y"
"64",2009-04-03,1.15243415802075,0.483457844183565,"SFY",0.779220779220779,0.982683982683983,0.0872025133239959,0.996596785818357
"65",2009-04-06,1.10415003990423,0.470117395944504,"SFY",0.216450216450216,0.268398268398268,0.28253871130252,0.515785078564944
"66",2009-04-07,1.05227454110136,0.451440768409819,"SFY",0.181818181818182,0.186147186147186,0.3592418144181,0.382851311132724
"67",2009-04-08,1.06664006384677,0.459445037353255,"SFY",0.614718614718615,0.662337662337662,0.465878093883738,0.643551796470958
"68",2009-04-09,1.13288108539505,0.532017075773746,"SFY",0.887445887445887,0.991341991341991,0.105632962138067,0.996781628389578
"69",2009-04-13,1.15762170790104,0.533084311632871,"SFY",0.662337662337662,0.536796536796537,0.748692086887692,0.322467164312451
"70",2009-04-14,1.170790103751,0.529348986125934,"SFY",0.606060606060606,0.454545454545455,0.753641469177838,0.267162094405901
"71",2009-04-15,1.03591380686353,0.536286019210246,"SFY",0.0432900432900433,0.619047619047619,0.00329445823641541,0.965085748973746
"72",2009-04-16,1.01356743814844,0.548025613660619,"SFY",0.376623376623377,0.718614718614719,0.0994439462820172,0.920765723397726
"73",2009-04-17,1.0047885075818,0.584845250800427,"SFY",0.428571428571429,0.952380952380952,0.0415225422239968,0.995835329734107
"74",2009-04-20,0.974860335195531,0.511739594450374,"SFY",0.311688311688312,0.0173160173160173,0.935334487695207,0.00196707549756356
"75",2009-04-21,1.00119712689545,0.570437566702241,"SFY",0.688311688311688,0.982683982683983,0.0646655123047927,0.998032924502436
"76",2009-04-22,0.999201915403033,0.586446104589114,"SFY",0.506493506493506,0.770562770562771,0.161157124859803,0.907820175388473
"77",2009-04-23,1.05426975259377,0.55923159018143,"SFY",0.844155844155844,0.155844155844156,0.985579542469165,0.0144204575308351
"78",2009-04-24,1.08379888268156,0.564567769477054,"SFY",0.688311688311688,0.588744588744589,0.730184621830856,0.372630580952922
"79",2009-04-27,1.03152434158021,0.533084311632871,"SFY",0.177489177489178,0.125541125541126,0.523151849534893,0.210008325665923
"80",2009-04-28,1.00598563447725,0.562433297758805,"SFY",0.354978354978355,0.9004329004329,0.0399833805460683,0.988975649171178
"81",2009-04-29,1.06464485235435,0.575240128068303,"SFY",0.861471861471861,0.727272727272727,0.884377378957023,0.298090642177614
"82",2009-04-30,1.05307262569832,0.577374599786553,"SFY",0.406926406926407,0.554112554112554,0.256093362900976,0.730414348274999
"83",2009-05-01,1.15642458100559,0.62059765208111,"SFY",0.948051948051948,0.952380952380952,0.656534847562341,0.723774527591521
"84",2009-05-04,1.28411811652035,0.672892209178228,"SFY",0.956709956709957,0.96969696969697,0.557992404630467,0.817224879617424
"85",2009-05-05,1.2853152434158,0.684631803628602,"SFY",0.532467532467532,0.662337662337662,0.31542733179877,0.753665626517665
