"","X1","ISLE","AKRX","long_distance","Fx","Fy","MI_X","MI_Y"
"63",2009-04-02,1.99712643678161,0.375,"AKRX",0.956709956709957,0.883116883116883,0.92119131553134,0.583297876580654
"64",2009-04-03,2.00574712643678,0.416666666666667,"AKRX",0.593073593073593,0.961038961038961,0.237811614203391,0.98278633508985
"65",2009-04-06,2.00574712643678,0.412878787878788,"AKRX",0.571428571428571,0.458874458874459,0.619168065332589,0.400347596324404
"66",2009-04-07,1.95402298850575,0.397727272727273,"AKRX",0.359307359307359,0.216450216450216,0.522166379351626,0.213156406758179
"67",2009-04-08,1.98850574712644,0.416666666666667,"AKRX",0.688311688311688,0.852813852813853,0.469268016005382,0.854914591969411
"68",2009-04-09,2.07758620689655,0.424242424242424,"AKRX",0.83982683982684,0.714285714285714,0.824146243912159,0.520292356658917
"69",2009-04-13,2.20402298850575,0.424242424242424,"AKRX",0.891774891774892,0.584415584415584,0.929655792164591,0.310373811243169
"70",2009-04-14,2.07183908045977,0.367424242424242,"AKRX",0.125541125541126,0.025974025974026,0.513005019194991,0.0376536362016539
"71",2009-04-15,2.14367816091954,0.367424242424242,"AKRX",0.796536796536797,0.584415584415584,0.82904519026264,0.396438267873538
"72",2009-04-16,2.25574712643678,0.367424242424242,"AKRX",0.87012987012987,0.584415584415584,0.909011397472488,0.33124527987038
"73",2009-04-17,2.46264367816092,0.386363636363636,"AKRX",0.913419913419913,0.87012987012987,0.835906822176214,0.673448676781348
"74",2009-04-20,2.38505747126437,0.352272727272727,"AKRX",0.311688311688312,0.0779220779220779,0.624408164649545,0.06072412679932
"75",2009-04-21,2.47988505747126,0.363636363636364,"AKRX",0.805194805194805,0.774891774891775,0.728986571685405,0.651489475785356
"76",2009-04-22,2.52873563218391,0.337121212121212,"AKRX",0.701298701298701,0.0952380952380952,0.885190397895186,0.0343494974542912
"77",2009-04-23,2.58333333333333,0.329545454545455,"AKRX",0.718614718614719,0.324675324675325,0.839535736943871,0.18285263327823
"78",2009-04-24,2.66379310344828,0.329545454545455,"AKRX",0.787878787878788,0.584415584415584,0.818839926381249,0.403666628255414
"79",2009-04-27,2.71264367816092,0.287878787878788,"AKRX",0.692640692640693,0.0303030303030303,0.893472906381414,0.00798576236825438
"80",2009-04-28,2.48563218390805,0.284090909090909,"AKRX",0.0606060606060606,0.376623376623377,0.0346807180795327,0.710803646497038
"81",2009-04-29,2.75862068965517,0.329545454545455,"AKRX",0.956709956709957,0.978354978354978,0.703164455268079,0.906837367654845
"82",2009-04-30,3.08620689655172,0.318181818181818,"AKRX",0.961038961038961,0.229437229437229,0.989259675719128,0.0810859781871367
"83",2009-05-01,3.02011494252874,0.321969696969697,"AKRX",0.372294372294372,0.692640692640693,0.236167588460349,0.799963986060083
"84",2009-05-04,3.57471264367816,0.352272727272727,"AKRX",0.991341991341991,0.948051948051948,0.975132532252324,0.523056434614391
"85",2009-05-05,3.66091954022989,0.321969696969697,"AKRX",0.744588744588745,0.0822510822510823,0.906549148736611,0.0272492295813148
"86",2009-05-06,3.83908045977011,0.306818181818182,"AKRX",0.848484848484849,0.177489177489178,0.945003909272982,0.0652441995877722
"87",2009-05-07,3.45114942528736,0.306818181818182,"AKRX",0.0432900432900433,0.584415584415584,0.0140148336664921,0.848549604427665
"88",2009-05-08,3.45689655172414,0.329545454545455,"AKRX",0.58008658008658,0.922077922077922,0.275655054010702,0.956219727194064
"89",2009-05-11,3.9051724137931,0.375,"AKRX",0.965367965367965,0.974025974025974,0.775823695958693,0.86154832063076
"90",2009-05-12,3.89942528735632,0.397727272727273,"AKRX",0.554112554112554,0.9004329004329,0.275874464832181,0.942094898022644
"91",2009-05-13,3.33908045977011,0.348484848484849,"AKRX",0.0216450216450216,0.0303030303030303,0.129177003191562,0.226850656650081
