"","X1","MBRG","DX","long_distance","Fx","Fy","MI_X","MI_Y"
"74",2009-04-20,0.88865096359743,0.987412587412587,"MBRG",0.70995670995671,0.597402597402597,0.692349345606242,0.555992718855581
"75",2009-04-21,0.886509635974304,0.994405594405594,"MBRG",0.406926406926407,0.774891774891775,0.349371583103239,0.783755556138952
"76",2009-04-22,0.941470378301213,0.986013986013986,"MBRG",0.956709956709957,0.268398268398268,0.964341906086827,0.192926012173783
"77",2009-04-23,0.910064239828694,0.983216783216783,"MBRG",0.134199134199134,0.445887445887446,0.119025128118468,0.528374270068233
"78",2009-04-24,1.02069950035689,0.970629370629371,NA,0.995670995670996,0.216450216450216,0.996788041194083,0.138630258056992
"79",2009-04-27,0.999286224125625,0.98041958041958,NA,0.212121212121212,0.818181818181818,0.161062262345522,0.849082658119961
"80",2009-04-28,1.01470378301213,0.993006993006993,NA,0.792207792207792,0.857142857142857,0.747199012884429,0.830842621992904
"81",2009-04-29,0.999286224125625,0.988811188811189,NA,0.25974025974026,0.393939393939394,0.254595109775609,0.427878298199082
"82",2009-04-30,0.999286224125625,0.986013986013986,NA,0.584415584415584,0.445887445887446,0.584034323475002,0.416792616144253
"83",2009-05-01,0.998486795146324,1,NA,0.428571428571429,0.87012987012987,0.356016341424235,0.875758546808817
"84",2009-05-04,0.985010706638116,0.987412587412587,NA,0.268398268398268,0.216450216450216,0.30649227256651,0.233574244152415
"85",2009-05-05,1.05210563882941,0.993006993006993,NA,0.96969696969697,0.744588744588745,0.964597445659412,0.663864472415957
"86",2009-05-06,1.06709493219129,0.997202797202797,NA,0.766233766233766,0.722943722943723,0.736837428479211,0.683155779709787
"87",2009-05-07,0.999286224125625,0.995804195804196,NA,0.025974025974026,0.510822510822511,0.01788574473671,0.675296784794066
"88",2009-05-08,1.05281941470378,1.01818181818182,NA,0.956709956709957,0.909090909090909,0.940805091700539,0.871374566999692
"89",2009-05-11,1.05281941470378,1.02237762237762,NA,0.584415584415584,0.718614718614719,0.540874162412256,0.703266509712368
"90",2009-05-12,1.0785153461813,1.01258741258741,NA,0.83982683982684,0.246753246753247,0.863938862706238,0.189606859925649
"91",2009-05-13,1.08351177730193,1.01398601398601,NA,0.67965367965368,0.640692640692641,0.6540702640119,0.606741444718608
"92",2009-05-14,1.03569593147752,1.03216783216783,NA,0.0865800865800866,0.883116883116883,0.0552977028774464,0.919032789887375
"93",2009-05-15,1.03997144896502,1.04475524475524,NA,0.666666666666667,0.852813852813853,0.606987804724762,0.838262979262104
"94",2009-05-18,1.09635974304069,1.04055944055944,NA,0.956709956709957,0.393939393939394,0.960631241874452,0.304619537905055
"95",2009-05-19,1.1134903640257,1.04895104895105,NA,0.792207792207792,0.787878787878788,0.757319650237712,0.751849114681935
"96",2009-05-20,1.07137758743754,1.08111888111888,NA,0.108225108225108,0.935064935064935,0.0685714010393432,0.954614574388935
"97",2009-05-21,1.08565310492505,1.07832167832168,NA,0.761904761904762,0.445887445887446,0.76591566240619,0.390380571994246
"98",2009-05-22,1.11491791577445,1.09090909090909,NA,0.852813852813853,0.848484848484849,0.819121041549216,0.813441340746706
"99",2009-05-26,1.08850820842256,1.13006993006993,NA,0.199134199134199,0.948051948051948,0.137147613791431,0.959674716057898
"100",2009-05-27,1.07066381156317,1.12587412587413,NA,0.255411255411255,0.398268398268398,0.249314060984825,0.433694448666172
"101",2009-05-28,1.03498215560314,1.11468531468531,NA,0.134199134199134,0.246753246753247,0.145991668242379,0.31797789676523
"102",2009-05-29,1.08850820842256,1.14125874125874,NA,0.952380952380952,0.917748917748918,0.934351640554072,0.883730829329682
"103",2009-06-01,1.08850820842256,1.13846153846154,NA,0.584415584415584,0.445887445887446,0.584034323475002,0.416792616144253
"104",2009-06-02,1.08850820842256,1.13286713286713,NA,0.584415584415584,0.363636363636364,0.5991324614806,0.332329254822611
"105",2009-06-03,1.0349750178444,1.13846153846154,NA,0.0606060606060606,0.74025974025974,0.0401997995106513,0.820108095206845
"106",2009-06-04,1.07066381156317,1.15524475524476,NA,0.9004329004329,0.87012987012987,0.87355298582472,0.832493929496293
"107",2009-06-05,1.06852248394004,1.13146853146853,NA,0.406926406926407,0.0995670995670996,0.509932537946977,0.0882196639331126
"108",2009-06-08,1.09208422555318,1.12867132867133,NA,0.831168831168831,0.445887445887446,0.835632113059321,0.379688680757786
"109",2009-06-09,1.12062812276945,1.12447552447552,NA,0.852813852813853,0.398268398268398,0.861320572853334,0.329264645552476
"110",2009-06-10,1.10635260528194,1.12027972027972,NA,0.277056277056277,0.398268398268398,0.272028421490742,0.427518916799564
"111",2009-06-11,1.10635260528194,1.11888111888112,NA,0.584415584415584,0.510822510822511,0.573145055877673,0.484318125336216
"112",2009-06-12,1.07066381156317,1.11748251748252,NA,0.138528138528139,0.510822510822511,0.117755911863955,0.58921376808549
