"","X1","HHS","TILE","long_distance","Fx","Fy","MI_X","MI_Y"
"63",2009-04-02,0.973966309341501,0.682828282828283,"TILE",1,0.982683982683983,0.9999999999,3.55323020878432e-05
"64",2009-04-03,0.978560490045942,0.686868686868687,"TILE",0.632034632034632,0.606060606060606,0.596941426462232,0.54421387658477
"65",2009-04-06,1.00153139356815,0.684848484848485,"TILE",0.83982683982684,0.497835497835498,0.898792308598518,0.250953711089169
"66",2009-04-07,0.973966309341501,0.648484848484848,"TILE",0.186147186147186,0.112554112554113,0.431381843962974,0.172062955100284
"67",2009-04-08,0.983154670750383,0.737373737373737,"TILE",0.683982683982684,0.995670995670996,0.0703941553583299,0.999304930756941
"68",2009-04-09,1.05972434915773,0.81010101010101,"TILE",0.982683982683983,0.982683982683983,0.781988986575744,0.781988986575744
"69",2009-04-13,1.01531393568147,0.749494949494949,"TILE",0.0995670995670996,0.0562770562770563,0.399678993178764,0.14165901235924
"70",2009-04-14,0.973966309341501,0.725252525252525,"TILE",0.103896103896104,0.19047619047619,0.151864152893522,0.459472705930527
"71",2009-04-15,1.00459418070444,0.741414141414141,"TILE",0.883116883116883,0.74025974025974,0.875067399719168,0.477224905221823
"72",2009-04-16,1.03215926493109,0.747474747474748,"TILE",0.857142857142857,0.619047619047619,0.885479420930278,0.359454012791736
"73",2009-04-17,1.05666156202144,0.763636363636364,"TILE",0.83982683982684,0.727272727272727,0.817087315301323,0.526588643385839
"74",2009-04-20,0.964777947932619,0.775757575757576,"TILE",0.0173160173160173,0.683982683982684,0.0010363109332039,0.981091681801943
"75",2009-04-21,1.05359877488515,0.822222222222222,"TILE",0.995670995670996,0.948051948051948,0.992204271022446,0.254575600982419
"76",2009-04-22,1.05359877488515,0.890909090909091,"TILE",0.584415584415584,0.974025974025974,0.129919904993931,0.992036548425996
"77",2009-04-23,1.0260336906585,0.842424242424242,"TILE",0.186147186147186,0.103896103896104,0.451305124167233,0.155588895935497
"78",2009-04-24,1.08269525267994,0.993939393939394,"TILE",0.948051948051948,1,1.93299796851689e-05,0.9999999999
"79",2009-04-27,1.04134762633997,0.907070707070707,"TILE",0.116883116883117,0.0432900432900433,0.513138227953368,0.0843438046327411
"80",2009-04-28,1.1010719754977,0.870707070707071,"TILE",0.948051948051948,0.155844155844156,0.993864904523157,0.0156257701013407
"81",2009-04-29,1.16998468606432,0.955555555555556,"TILE",0.96969696969697,0.982683982683983,0.648478041533879,0.881458191399361
"82",2009-04-30,1.26493108728943,1.16969696969697,"TILE",0.987012987012987,1,4.15550020747038e-05,0.9999999999
"83",2009-05-01,1.28790199081164,1.22626262626263,"TILE",0.774891774891775,0.922077922077922,0.442869676760667,0.918100523177291
"84",2009-05-04,1.29709035222052,1.32727272727273,NA,0.670995670995671,0.974025974025974,0.176312623212869,0.989596208728695
"85",2009-05-05,1.46707503828484,1.31111111111111,"TILE",1,0.402597402597403,0.9999999999,1.76991569297938e-06
"86",2009-05-06,1.44410413476263,1.33131313131313,"TILE",0.32034632034632,0.67965367965368,0.177526942161259,0.808078922623833
"87",2009-05-07,1.35068912710567,1.27474747474747,"TILE",0.038961038961039,0.134199134199134,0.0611930623657195,0.579892841462666
"88",2009-05-08,1.31393568147014,1.29292929292929,"TILE",0.186147186147186,0.666666666666667,0.0729255403613448,0.865586359572982
"89",2009-05-11,1.31240428790199,1.23434343434343,"TILE",0.575757575757576,0.121212121212121,0.852037101233588,0.0453247531539332
"90",2009-05-12,1.24808575803982,1.19191919191919,"TILE",0.0606060606060606,0.173160173160173,0.0823367232467786,0.557431135521895
"91",2009-05-13,1.1791730474732,1.13131313131313,"TILE",0.0476190476190476,0.116883116883117,0.0957512059016783,0.489988157848564
"92",2009-05-14,1.23277182235835,1.15555555555556,"TILE",0.935064935064935,0.727272727272727,0.948841384451998,0.345229626092328
"93",2009-05-15,1.25267993874426,1.15353535353535,"TILE",0.766233766233766,0.515151515151515,0.816553807571558,0.328727715660524
"94",2009-05-18,1.37059724349158,1.23232323232323,"TILE",0.995670995670996,0.96969696969697,0.982781098428915,0.341002831878635
"95",2009-05-19,1.33384379785605,1.28686868686869,"TILE",0.186147186147186,0.913419913419913,0.0288903851557444,0.984267306598011
"96",2009-05-20,1.31240428790199,1.3010101010101,"TILE",0.311688311688312,0.649350649350649,0.181915159757467,0.783631139201812
"97",2009-05-21,1.30321592649311,1.24444444444444,"TILE",0.467532467532468,0.134199134199134,0.756538374581341,0.0739537272003547
"98",2009-05-22,1.26952526799387,1.24444444444444,"TILE",0.186147186147186,0.545454545454545,0.100679695315772,0.771885097740161
"99",2009-05-26,1.30321592649311,1.31717171717172,NA,0.852813852813853,0.943722943722944,0.505940534557983,0.91704380291923
"100",2009-05-27,1.29402756508423,1.28282828282828,NA,0.467532467532468,0.242424242424242,0.642007013125483,0.185613475887267
"101",2009-05-28,1.30321592649311,1.28282828282828,NA,0.670995670995671,0.545454545454545,0.685528312923884,0.436120593683913
"102",2009-05-29,1.29096477794793,1.28080808080808,NA,0.424242424242424,0.515151515151515,0.381885916333128,0.559984535815565
"103",2009-06-01,1.35681470137825,1.29292929292929,NA,0.943722943722944,0.636363636363636,0.969841252656975,0.235767660251943
"104",2009-06-02,1.41194486983155,1.24444444444444,"TILE",0.917748917748918,0.16017316017316,0.987195401765017,0.0213346438905634
"105",2009-06-03,1.37825421133231,1.27272727272727,"TILE",0.229437229437229,0.748917748917749,0.0831579317594294,0.9001382442659
"106",2009-06-04,1.40735068912711,1.2989898989899,"TILE",0.826839826839827,0.714285714285714,0.805179446620642,0.524397619193949
"107",2009-06-05,1.41347626339969,1.30707070707071,"TILE",0.623376623376623,0.606060606060606,0.585180615296155,0.550118948745496
"108",2009-06-08,1.40735068912711,1.26464646464646,"TILE",0.536796536796537,0.19047619047619,0.760397531580989,0.10691302885187
"109",2009-06-09,1.39050535987749,1.28686868686869,"TILE",0.376623376623377,0.692640692640693,0.226342634251323,0.794664520668427
"110",2009-06-10,1.40122511485452,1.25050505050505,"TILE",0.670995670995671,0.225108225108225,0.847816697247343,0.0997593232452811
"111",2009-06-11,1.42113323124043,1.28282828282828,"TILE",0.744588744588745,0.783549783549784,0.620810810625204,0.717879798194867
"112",2009-06-12,1.41194486983155,1.22020202020202,"TILE",0.476190476190476,0.116883116883117,0.785539743088434,0.0575648358020849
"113",2009-06-15,1.38591117917305,1.24040404040404,"TILE",0.281385281385281,0.688311688311688,0.139549468320824,0.834084366207777
"114",2009-06-16,1.39509954058193,1.24848484848485,"TILE",0.666666666666667,0.606060606060606,0.644069058373041,0.519778994784754
"115",2009-06-17,1.37519142419602,1.36161616161616,"TILE",0.337662337662338,0.982683982683983,0.0355953285535843,0.997772561068653
"116",2009-06-18,1.35987748851455,1.33131313131313,"TILE",0.38961038961039,0.29004329004329,0.501074055097426,0.287513968973098
"117",2009-06-19,1.39509954058193,1.41010101010101,NA,0.844155844155844,0.948051948051948,0.471145729858268,0.93051246956688
"118",2009-06-22,1.30015313935681,1.31111111111111,NA,0.0346320346320346,0.0692640692640693,0.117201929495309,0.412580139854668
"119",2009-06-23,1.30168453292496,1.22626262626263,NA,0.588744588744589,0.0822510822510823,0.895498335054573,0.0224266996789346
"120",2009-06-24,1.33078101071975,1.22222222222222,"TILE",0.831168831168831,0.497835497835498,0.89052838521288,0.258314218050958
"121",2009-06-25,1.32159264931087,1.24848484848485,"TILE",0.471861471861472,0.727272727272727,0.307754846314427,0.790128705759332
"122",2009-06-26,1.40275650842266,1.26060606060606,"TILE",0.96969696969697,0.636363636363636,0.988245027985686,0.16970562753732
"123",2009-06-29,1.40735068912711,1.26262626262626,"TILE",0.614718614718615,0.571428571428571,0.595745097060969,0.509317494427277
"124",2009-06-30,1.41653905053599,1.25656565656566,"TILE",0.666666666666667,0.476190476190476,0.717376628919754,0.352387398422739
"125",2009-07-01,1.47626339969372,1.26868686868687,"TILE",0.922077922077922,0.636363636363636,0.950789877916521,0.279487914820771
