"","X1","DK","TSO","long_distance","Fx","Fy","MI_X","MI_Y"
"77",2009-04-23,1.80327868852459,1.09354604786077,"TSO",0.705627705627706,0.83982683982684,0.428396458531602,0.836216655704456
"78",2009-04-24,1.88524590163934,1.13778100072516,"TSO",0.826839826839827,0.783549783549784,0.739308310347068,0.588410851098206
"79",2009-04-27,1.81056466302368,1.09137055837563,"TSO",0.238095238095238,0.229437229437229,0.369301012016413,0.341844513241197
"80",2009-04-28,1.81056466302368,1.13270485859318,"TSO",0.575757575757576,0.774891774891775,0.333106129742705,0.828486241598939
"81",2009-04-29,1.85974499089253,1.1399564902103,"TSO",0.731601731601732,0.575757575757576,0.772012574919971,0.379036462264215
"82",2009-04-30,1.87067395264117,1.10587382160986,"TSO",0.627705627705628,0.285714285714286,0.828875770406512,0.137751585615006
"83",2009-05-01,1.89435336976321,1.16823785351704,"TSO",0.670995670995671,0.844155844155844,0.37127648089141,0.864463494851264
"84",2009-05-04,1.97267759562842,1.2545322697607,"TSO",0.813852813852814,0.909090909090909,0.478531305308046,0.87385686019507
"85",2009-05-05,1.97085610200364,1.29079042784627,"TSO",0.54978354978355,0.735930735930736,0.340356611318533,0.795262592346425
"86",2009-05-06,2.06739526411658,1.33792603335751,"TSO",0.857142857142857,0.770562770562771,0.812326591766322,0.509190588797564
"87",2009-05-07,1.85428051001821,1.19289340101523,"TSO",0.0432900432900433,0.0606060606060606,0.172248298921709,0.330267509767306
"88",2009-05-08,1.87067395264117,1.21247280638144,"TSO",0.645021645021645,0.640692640692641,0.582731125931129,0.571306291934862
"89",2009-05-11,1.92349726775956,1.18274111675127,"TSO",0.74025974025974,0.333333333333333,0.895254749135231,0.130162842333088
"90",2009-05-12,1.82331511839709,1.1718636693256,"TSO",0.16017316017316,0.45021645021645,0.0898978066083134,0.760016846725994
"91",2009-05-13,1.73770491803279,1.16678752719362,"TSO",0.194805194805195,0.493506493506494,0.107655940496802,0.769763837418839
"92",2009-05-14,1.80510018214936,1.24800580130529,"TSO",0.796536796536797,0.904761904761905,0.455885192411033,0.879401445965612
"93",2009-05-15,1.6775956284153,1.2037708484409,"TSO",0.0952380952380952,0.25974025974026,0.0869508388208771,0.636057854459804
"94",2009-05-18,1.67941712204007,1.21102248005801,"TSO",0.575757575757576,0.571428571428571,0.545078755963915,0.534161872105151
"95",2009-05-19,1.71584699453552,1.24873096446701,"TSO",0.696969696969697,0.748917748917749,0.543811765545453,0.694207877693392
"96",2009-05-20,1.7431693989071,1.25380710659898,"TSO",0.683982683982684,0.554112554112554,0.722352075380375,0.398424354738123
"97",2009-05-21,1.71948998178506,1.19869470630892,"TSO",0.41991341991342,0.207792207792208,0.680039279732304,0.152765395281507
"98",2009-05-22,1.66484517304189,1.17693981145758,"TSO",0.303030303030303,0.376623376623377,0.317959925892052,0.512927166344905
"99",2009-05-26,1.66120218579235,1.21319796954315,"TSO",0.536796536796537,0.748917748917749,0.311730155130853,0.819122895182981
"100",2009-05-27,1.72131147540984,1.22625090645395,"TSO",0.783549783549784,0.593073593073593,0.829352970036557,0.345462697839705
"101",2009-05-28,1.76684881602914,1.23277737490935,"TSO",0.731601731601732,0.571428571428571,0.775077220581059,0.373163077877346
"102",2009-05-29,1.86703096539162,1.22842639593909,"TSO",0.883116883116883,0.502164502164502,0.953736240532287,0.167510272876094
"103",2009-06-01,1.92349726775956,1.26976069615664,"TSO",0.757575757575758,0.770562770562771,0.62265834672791,0.663632233955606
"104",2009-06-02,1.83788706739526,1.26903553299492,"TSO",0.212121212121212,0.510822510822511,0.117482310400051,0.772162762804918
"105",2009-06-03,1.71402550091075,1.10007251631617,"TSO",0.121212121212121,0.0216450216450216,0.666503431085758,0.0261262816141017
"106",2009-06-04,1.72131147540984,1.16461203770848,"TSO",0.606060606060606,0.861471861471861,0.271590771279425,0.91320457027698
"107",2009-06-05,1.6575591985428,1.12835387962292,"TSO",0.268398268398268,0.285714285714286,0.354326491051025,0.404795966176061
"108",2009-06-08,1.64298724954463,1.13705583756345,"TSO",0.476190476190476,0.588744588744589,0.380239700495787,0.653299025913069
"109",2009-06-09,1.60473588342441,1.12472806381436,"TSO",0.346320346320346,0.445887445887446,0.321123858719943,0.570782766531227
"110",2009-06-10,1.67030965391621,1.11312545322698,"TSO",0.813852813852814,0.445887445887446,0.917114696072534,0.174333810244794
"111",2009-06-11,1.63752276867031,1.07831762146483,"TSO",0.367965367965368,0.281385281385281,0.524255325176483,0.292293458265992
"112",2009-06-12,1.59562841530055,1.07324147933285,"TSO",0.337662337662338,0.484848484848485,0.277013173015262,0.634160532639413
"113",2009-06-15,1.57012750455373,1.06526468455402,"TSO",0.402597402597403,0.458874458874459,0.392750953478053,0.533465050552191
"114",2009-06-16,1.51548269581056,1.02755620014503,"TSO",0.277056277056277,0.25974025974026,0.400433127693453,0.349214341468772
"115",2009-06-17,1.5264116575592,0.997824510514866,"TSO",0.640692640692641,0.29004329004329,0.837443994444015,0.136196977156901
"116",2009-06-18,1.62295081967213,1.0065264684554,"TSO",0.891774891774892,0.588744588744589,0.945345395599946,0.22156195689065
"117",2009-06-19,1.6247723132969,1.01667875271936,"TSO",0.575757575757576,0.593073593073593,0.523479284809589,0.567339575561204
"118",2009-06-22,1.4735883424408,0.944887599709935,"TSO",0.051948051948052,0.0952380952380952,0.130797755228444,0.424621317232245
"119",2009-06-23,1.46812386156648,0.956490210297317,"TSO",0.532467532467532,0.614718614718615,0.436495755816665,0.640954211165449
"120",2009-06-24,1.45901639344262,0.899202320522118,"TSO",0.489177489177489,0.151515151515152,0.800387447050611,0.0721909540024815
"121",2009-06-25,1.57741347905282,0.944162436548223,"TSO",0.926406926406926,0.818181818181818,0.90477401690135,0.438604695979642
"122",2009-06-26,1.56102003642987,0.926033357505439,"TSO",0.45021645021645,0.367965367965368,0.555241708230872,0.349109861024396
"123",2009-06-29,1.56284153005464,0.934010152284264,"TSO",0.575757575757576,0.588744588744589,0.527828991252454,0.560698696492763
"124",2009-06-30,1.54462659380692,0.923132704858593,"TSO",0.445887445887446,0.437229437229437,0.479400503145291,0.457695904821194
"125",2009-07-01,1.55373406193078,0.948513415518492,"TSO",0.627705627705628,0.722943722943723,0.464040723803871,0.71822680920834
