"","X1","DVA","ABT","long_distance","Fx","Fy","MI_X","MI_Y"
"85",2009-05-05,0.936252545824847,0.816467513069455,"ABT",0.134199134199134,0.800865800865801,0.0388348159922457,0.928876525875041
"86",2009-05-06,0.928716904276986,0.801530993278566,"ABT",0.285714285714286,0.116883116883117,0.556487489748535,0.100720683700167
"87",2009-05-07,0.947250509164969,0.833084391336818,"ABT",0.878787878787879,0.987012987012987,0.573460754156213,0.975885937272199
"88",2009-05-08,0.962321792260692,0.838872292755788,"ABT",0.835497835497836,0.683982683982684,0.805279496766524,0.526894784468644
"89",2009-05-11,0.944399185336049,0.837752053771471,"ABT",0.147186147186147,0.489177489177489,0.0802661745276747,0.718018228755083
"90",2009-05-12,0.945213849287169,0.847834204630321,"ABT",0.515151515151515,0.796536796536797,0.349597042399539,0.811970011212493
"91",2009-05-13,0.924643584521385,0.849514563106796,"ABT",0.12987012987013,0.584415584415584,0.0544924395718404,0.808366657068294
"92",2009-05-14,0.925458248472505,0.833271097834205,"ABT",0.515151515151515,0.108225108225108,0.784201236446088,0.046638770761822
"93",2009-05-15,0.906720977596741,0.808812546676624,"ABT",0.134199134199134,0.038961038961039,0.586588826521613,0.0509733563858306
"94",2009-05-18,0.917922606924644,0.806572068707991,"ABT",0.800865800865801,0.463203463203463,0.831910076874944,0.292466239673282
"95",2009-05-19,0.942158859470468,0.800597460791636,"ABT",0.904761904761905,0.341991341991342,0.947034303898644,0.141640580975192
"96",2009-05-20,0.925050916496945,0.804331590739358,"ABT",0.16017316017316,0.632034632034632,0.0700434730744675,0.816532399758306
"97",2009-05-21,0.895315682281059,0.808812546676624,"ABT",0.0606060606060606,0.653679653679654,0.0139282953070362,0.908987929490991
"98",2009-05-22,0.912830957230143,0.820388349514563,"ABT",0.878787878787879,0.805194805194805,0.819146097626556,0.661378997978677
"99",2009-05-26,0.926069246435845,0.832150858849888,"ABT",0.822510822510823,0.805194805194805,0.736245787601943,0.701347412670015
"100",2009-05-27,0.927698574338085,0.828790141896938,"ABT",0.536796536796537,0.432900432900433,0.550032391461885,0.371166445216707
"101",2009-05-28,0.913645621181263,0.832710978342046,"ABT",0.19047619047619,0.636363636363636,0.0917381684184359,0.798890277693687
"102",2009-05-29,0.918737270875764,0.841299477221807,"ABT",0.653679653679654,0.770562770562771,0.527713999602691,0.733567710642214
"103",2009-06-01,0.94786150712831,0.839805825242718,"ABT",0.913419913419913,0.480519480519481,0.936682607877129,0.246081218082817
"104",2009-06-02,0.968431771894094,0.842979835698282,"ABT",0.883116883116883,0.614718614718615,0.882887727877422,0.406675987072667
"105",2009-06-03,0.964765784114053,0.842419716206124,"ABT",0.385281385281385,0.489177489177489,0.336468794386278,0.520676584423836
"106",2009-06-04,0.959674134419552,0.835511575802838,"ABT",0.329004329004329,0.32034632034632,0.364919001612525,0.347223756396852
"107",2009-06-05,0.952545824847251,0.839805825242718,"ABT",0.303030303030303,0.649350649350649,0.186988813386231,0.744351221869567
"108",2009-06-08,0.95152749490835,0.835138162808066,"ABT",0.471861471861472,0.38961038961039,0.49711861988542,0.350112608689448
"109",2009-06-09,0.938085539714868,0.828043315907394,"ABT",0.216450216450216,0.32034632034632,0.214639787390552,0.449983430168334
