"","X1","PAG","HOT","long_distance","Fx","Fy","MI_X","MI_Y"
"62",2009-04-01,1.07981220657277,0.628846153846154,"HOT",0.406926406926407,0.813852813852814,0.14355788589568,0.932360885548888
"63",2009-04-02,1.22887323943662,0.714423076923077,"HOT",0.978354978354978,0.982683982683983,0.702213327219434,0.815638258582542
"64",2009-04-03,1.33098591549296,0.773076923076923,"HOT",0.961038961038961,0.961038961038961,0.750099154280555,0.750099154280555
"65",2009-04-06,1.27934272300469,0.751923076923077,"HOT",0.151515151515152,0.268398268398268,0.156889403446957,0.559380443811766
"66",2009-04-07,1.12089201877934,0.69375,"HOT",0.00432900432900433,0.0562770562770563,0.0047627641321229,0.767135456564522
"67",2009-04-08,1.15845070422535,0.691346153846154,"HOT",0.848484848484849,0.493506493506494,0.939343896165964,0.180871984851651
"68",2009-04-09,1.30985915492958,0.736538461538461,"HOT",0.974025974025974,0.917748917748918,0.948828239270001,0.418233305256472
"69",2009-04-13,1.24295774647887,0.758173076923077,"HOT",0.0995670995670996,0.813852813852814,0.0205379603964244,0.955926572617597
"70",2009-04-14,1.25,0.757692307692308,"HOT",0.632034632034632,0.528138528138528,0.67932056012755,0.40583383049646
"71",2009-04-15,1.27582159624413,0.760096153846154,"HOT",0.753246753246753,0.588744588744589,0.805226237760121,0.362126812766937
"72",2009-04-16,1.40023474178404,0.813942307692308,"HOT",0.974025974025974,0.935064935064935,0.926458469855659,0.484072882679384
"73",2009-04-17,1.44483568075117,0.863942307692308,"HOT",0.835497835497836,0.913419913419913,0.489121867425293,0.87343742500753
"74",2009-04-20,1.30985915492958,0.775961538461538,"HOT",0.0216450216450216,0.0216450216450216,0.239481407130205,0.239481407130205
"75",2009-04-21,1.29694835680751,0.830288461538461,"HOT",0.463203463203463,0.935064935064935,0.119461681658124,0.985522438678188
"76",2009-04-22,1.40023474178404,0.863461538461539,"HOT",0.956709956709957,0.865800865800866,0.944478084954167,0.391260059524652
"77",2009-04-23,1.42136150234742,0.958653846153846,"HOT",0.701298701298701,0.982683982683983,0.154458592839331,0.996272056523009
"78",2009-04-24,1.42840375586854,1.00096153846154,"HOT",0.632034632034632,0.874458874458874,0.269426428554775,0.928573395203116
"79",2009-04-27,1.38380281690141,0.891826923076923,"HOT",0.229437229437229,0.0216450216450216,0.803987670858825,0.00764946423648584
"80",2009-04-28,1.46713615023474,0.876923076923077,"HOT",0.935064935064935,0.363636363636364,0.987562925014806,0.0891580846695294
"81",2009-04-29,1.55399061032864,0.995192307692308,"HOT",0.935064935064935,0.982683982683983,0.394198345674275,0.961889388321232
"82",2009-04-30,1.55516431924883,1.00288461538462,"HOT",0.597402597402597,0.623376623376623,0.525077697132227,0.596638330130909
"83",2009-05-01,1.57159624413146,0.942307692307692,"HOT",0.675324675324675,0.0909090909090909,0.918087748858783,0.0193050572259668
"84",2009-05-04,1.59154929577465,0.998557692307692,"HOT",0.67965367965368,0.913419913419913,0.260340955094936,0.95327091170016
"85",2009-05-05,1.58098591549296,0.992788461538461,"HOT",0.497835497835498,0.471861471861472,0.526101023779139,0.457147004540324
"86",2009-05-06,1.50117370892019,1.01923076923077,"HOT",0.0995670995670996,0.80952380952381,0.0205093489379281,0.95482287627861
"87",2009-05-07,1.41431924882629,0.976923076923077,"HOT",0.0822510822510823,0.155844155844156,0.125933408171144,0.504478215538767
"88",2009-05-08,1.54460093896714,1.06153846153846,"HOT",0.96969696969697,0.965367965367965,0.788165603785763,0.717502488239969
"89",2009-05-11,1.5093896713615,1.05384615384615,"HOT",0.307359307359307,0.458874458874459,0.243671658571559,0.638081564760884
"90",2009-05-12,1.41431924882629,1.01586538461538,"HOT",0.0735930735930736,0.199134199134199,0.0733874240744724,0.618788885131592
"91",2009-05-13,1.27347417840376,0.948076923076923,"HOT",0.0173160173160173,0.0735930735930736,0.0312039937598446,0.634412958985724
"92",2009-05-14,1.31220657276995,0.959134615384615,"HOT",0.818181818181818,0.662337662337662,0.846448428355239,0.382248756597165
"93",2009-05-15,1.28051643192488,0.954326923076923,"HOT",0.298701298701299,0.480519480519481,0.216382730733795,0.675702053817766
