"","X1","LNDC","NWBI","long_distance","Fx","Fy","MI_X","MI_Y"
"64",2009-04-03,0.844062947067239,0.841099720410065,NA,0.588744588744589,0.411255411255411,0.665531688513705,0.334468311486295
"65",2009-04-06,0.882689556509299,0.820596458527493,NA,0.913419913419913,0.151515151515152,0.982150861562391,0.0302229967288679
"66",2009-04-07,0.878397711015737,0.826654240447344,NA,0.424242424242424,0.692640692640693,0.28602309121428,0.773029729557837
"67",2009-04-08,0.856938483547926,0.83690587138863,NA,0.238095238095238,0.748917748917749,0.102128461763042,0.893277810309935
"68",2009-04-09,0.899856938483548,0.900279589934762,NA,0.922077922077922,0.987012987012987,0.546813410836521,0.965022773477366
"69",2009-04-13,0.885550786838341,0.909133271202237,NA,0.311688311688312,0.722943722943723,0.165193053611682,0.849375167422981
"70",2009-04-14,0.821173104434907,0.847157502329916,NA,0.025974025974026,0.012987012987013,0.231000600781346,0.0868574073927871
"71",2009-04-15,0.822603719599428,0.866728797763281,NA,0.506493506493506,0.848484848484849,0.260321826601556,0.896612650544452
"72",2009-04-16,0.881258941344778,0.87977632805219,NA,0.965367965367965,0.774891774891775,0.96170657555799,0.377232105424739
"73",2009-04-17,0.938483547925608,0.895619757688723,NA,0.956709956709957,0.800865800865801,0.94286967708688,0.442632588932327
"74",2009-04-20,0.901287553648069,0.829450139794967,NA,0.116883116883117,0.012987012987013,0.552114255972014,0.0234045460276225
"75",2009-04-21,0.945636623748212,0.861136999068034,NA,0.917748917748918,0.917748917748918,0.77439773916314,0.77439773916314
"76",2009-04-22,0.92274678111588,0.815004659832246,NA,0.242424242424242,0.025974025974026,0.675208057311994,0.0246174584119671
"77",2009-04-23,0.937052932761087,0.81314072693383,"NWBI",0.714285714285714,0.484848484848485,0.76695562300816,0.337352408826947
"78",2009-04-24,0.969957081545064,0.827120223671948,"NWBI",0.878787878787879,0.792207792207792,0.818239989546052,0.58187846795314
"79",2009-04-27,0.937052932761087,0.812208760484623,"NWBI",0.177489177489178,0.25974025974026,0.235428971056684,0.43179515398704
