"","X1","SWX","TEG","long_distance","Fx","Fy","MI_X","MI_Y"
"60",2009-03-30,0.828853754940711,0.581505765317658,"TEG",0.151515151515152,0.125541125541126,0.535049441522431,0.153167350496052
"61",2009-03-31,0.832806324110672,0.588740673750848,"TEG",0.627705627705628,0.813852813852814,0.329668789459508,0.789213325511839
"62",2009-04-01,0.829249011857707,0.597558218403798,"TEG",0.402597402597403,0.852813852813853,0.0487718986578455,0.966131954511518
"63",2009-04-02,0.836363636363636,0.60954103549627,"TEG",0.701298701298701,0.896103896103896,0.307318841310268,0.872135420027215
"64",2009-04-03,0.831620553359684,0.602532217951617,"TEG",0.372294372294372,0.212121212121212,0.716659443459557,0.102658554534152
"65",2009-04-06,0.825296442687747,0.602306127063079,"TEG",0.324675324675325,0.484848484848485,0.249006185798729,0.635337749933083
"66",2009-04-07,0.811462450592885,0.597784309292336,"TEG",0.216450216450216,0.277056277056277,0.337098995826527,0.423682550478901
"67",2009-04-08,0.827667984189723,0.586705855754013,"TEG",0.844155844155844,0.151515151515152,0.947981020240184,0.0475394544561467
"68",2009-04-09,0.852173913043478,0.587836310196699,"TEG",0.926406926406926,0.571428571428571,0.956102635949224,0.235167345467485
"69",2009-04-13,0.839525691699605,0.580375310874972,"TEG",0.238095238095238,0.203463203463203,0.549914720892986,0.188948495308216
"70",2009-04-14,0.824901185770751,0.568166402893963,"TEG",0.212121212121212,0.12987012987013,0.646126549021465,0.0875006536957607
"71",2009-04-15,0.833201581027668,0.588740673750848,"TEG",0.727272727272727,0.956709956709957,0.202046960571815,0.957904928088597
"72",2009-04-16,0.847430830039526,0.593262491521592,"TEG",0.813852813852814,0.70995670995671,0.805938324415403,0.410051043562545
"73",2009-04-17,0.839130434782609,0.600271309066245,"TEG",0.298701298701299,0.796536796536797,0.0260676023138126,0.97178980648602
"74",2009-04-20,0.8300395256917,0.585123219534253,"TEG",0.29004329004329,0.108225108225108,0.743485716126788,0.0430483757599255
"75",2009-04-21,0.833596837944664,0.580827492652046,"TEG",0.593073593073593,0.281385281385281,0.825334690709872,0.107884754642009
"76",2009-04-22,0.81897233201581,0.572914311553244,"TEG",0.212121212121212,0.19047619047619,0.520820388085473,0.202584744278883
"77",2009-04-23,0.80197628458498,0.573592584218856,"TEG",0.173160173160173,0.545454545454545,0.0254861422537288,0.937489768280274
"78",2009-04-24,0.792094861660079,0.572914311553244,"TEG",0.281385281385281,0.463203463203463,0.194732879792726,0.683432194682341
"79",2009-04-27,0.792490118577075,0.583314492425955,"TEG",0.489177489177489,0.887445887445887,0.0759369612586089,0.961737485760907
"80",2009-04-28,0.793280632411067,0.580827492652046,"TEG",0.497835497835498,0.372294372294372,0.697069023603413,0.205664651512921
"81",2009-04-29,0.805928853754941,0.589645037304997,"TEG",0.80952380952381,0.852813852813853,0.632598213316702,0.670807104557787
