"","X1","WBS","STI","long_distance","Fx","Fy","MI_X","MI_Y"
"64",2009-04-03,0.354978354978355,0.461898395721925,"WBS",0.878787878787879,0.935064935064935,0.402277030874163,0.806343073904473
"65",2009-04-06,0.333333333333333,0.424465240641711,"WBS",0.0779220779220779,0.0735930735930736,0.249163888174227,0.233130241570601
"66",2009-04-07,0.325396825396825,0.395387700534759,"WBS",0.29004329004329,0.0952380952380952,0.702620891299713,0.137588741659925
"67",2009-04-08,0.329004329004329,0.361965240641711,"WBS",0.666666666666667,0.0735930735930736,0.981232506636708,0.0112190461875641
"68",2009-04-09,0.394660894660895,0.472593582887701,"WBS",0.995670995670996,1,0.933542730904585,0.999999998527427
"69",2009-04-13,0.417748917748918,0.536764705882353,"WBS",0.909090909090909,0.978354978354978,0.358192484946782,0.918830100912264
"70",2009-04-14,0.381673881673882,0.482286096256684,"WBS",0.038961038961039,0.0216450216450216,0.154238596268393,0.0827674648705936
"71",2009-04-15,0.422799422799423,0.524064171122995,"WBS",0.987012987012987,0.948051948051948,0.916698674432384,0.520877432234768
"72",2009-04-16,0.436507936507937,0.546791443850267,"WBS",0.80952380952381,0.831168831168831,0.512144545277257,0.638554796129664
"73",2009-04-17,0.500721500721501,0.602941176470588,"WBS",0.995670995670996,0.956709956709957,0.968222520677079,0.542209933697215
"74",2009-04-20,0.409090909090909,0.491644385026738,"WBS",0.00432900432900433,0.00432900432900433,0.0193130864550559,0.0193130864550559
"75",2009-04-21,0.395382395382395,0.536764705882353,"WBS",0.173160173160173,0.956709956709957,0.00170143523504111,0.999545564137759
"76",2009-04-22,0.370851370851371,0.514705882352941,"WBS",0.0779220779220779,0.19047619047619,0.166847078201474,0.533773715855376
"77",2009-04-23,0.353535353535354,0.497660427807487,"WBS",0.112554112554113,0.246753246753247,0.196995164416619,0.611129762975644
"78",2009-04-24,0.360750360750361,0.533422459893048,"WBS",0.748917748917749,0.922077922077922,0.148703151208964,0.936669745546995
"79",2009-04-27,0.346320346320346,0.487967914438503,"WBS",0.12987012987013,0.0735930735930736,0.393509539421674,0.196367825177429
"80",2009-04-28,0.363636363636364,0.45822192513369,"WBS",0.896103896103896,0.108225108225108,0.998689459219536,0.0019949012315564
"81",2009-04-29,0.382395382395382,0.495320855614973,"WBS",0.904761904761905,0.943722943722944,0.472685975121684,0.781167958996498
"82",2009-04-30,0.377344877344877,0.482620320855615,"WBS",0.402597402597403,0.29004329004329,0.677707424529136,0.330425649952151
"83",2009-05-01,0.369408369408369,0.461564171122995,"WBS",0.341991341991342,0.186147186147186,0.69675548980925,0.237580456205351
