"","X1","SIRI","KEM","long_distance","Fx","Fy","MI_X","MI_Y"
"70",2009-04-14,2.86885245901639,0.804347826086956,"KEM",0.354978354978355,0.805194805194805,0.20979099009465,0.890833740281654
"71",2009-04-15,3.12622950819672,0.847826086956522,"KEM",0.956709956709957,0.883116883116883,0.931409728735203,0.61122809578478
"72",2009-04-16,3.35245901639344,0.956521739130435,"KEM",0.935064935064935,0.943722943722944,0.787345959625472,0.834857240103083
"73",2009-04-17,4.0983606557377,0.978260869565217,"KEM",0.995670995670996,0.779220779220779,0.998761527933063,0.299723963835993
"74",2009-04-20,3.97540983606557,1.04347826086957,"KEM",0.329004329004329,0.909090909090909,0.17507836300387,0.961977371683111
"75",2009-04-21,3.36065573770492,1.15217391304348,"KEM",0.0303030303030303,0.926406926406926,0.0183453001809959,0.937756838681057
"76",2009-04-22,3.52868852459016,1.26086956521739,"KEM",0.887445887445887,0.917748917748918,0.727356972418236,0.842994605488642
"77",2009-04-23,3.37704918032787,1.18478260869565,"KEM",0.238095238095238,0.19047619047619,0.345622629426467,0.233750396499163
"78",2009-04-24,3.52459016393443,1.47608695652174,"KEM",0.87012987012987,0.987012987012987,0.433609737828329,0.988653808343744
"79",2009-04-27,3.31967213114754,1.6304347826087,"KEM",0.177489177489178,0.926406926406926,0.097909873457539,0.968440591555205
"80",2009-04-28,3.19672131147541,1.82608695652174,"KEM",0.25974025974026,0.943722943722944,0.141292108747386,0.9793409361991
"81",2009-04-29,3.23770491803279,1.80434782608696,"KEM",0.70995670995671,0.445887445887446,0.783206630503194,0.327037131819214
"82",2009-04-30,3.19180327868852,1.73913043478261,"KEM",0.480519480519481,0.277056277056277,0.596985474510762,0.227471080799662
"83",2009-05-01,3.15573770491803,1.67391304347826,"KEM",0.515151515151515,0.272727272727273,0.638666391986533,0.210449987431867
"84",2009-05-04,3.26967213114754,1.5,"KEM",0.83982683982684,0.0779220779220779,0.911789977508698,0.0347625122981701
"85",2009-05-05,3.85245901639344,1.71739130434783,"KEM",0.987012987012987,0.956709956709957,0.955547857465091,0.631749911368373
"86",2009-05-06,4.30573770491803,1.71739130434783,"KEM",0.961038961038961,0.601731601731602,0.984002926253089,0.304365021584432
"87",2009-05-07,3.52459016393443,1.69565217391304,"KEM",0.012987012987013,0.424242424242424,0.00320673586052675,0.742692466580456
"88",2009-05-08,3.3516393442623,1.73913043478261,"KEM",0.203463203463203,0.792207792207792,0.104251325395746,0.893130411429216
"89",2009-05-11,3.27868852459016,1.73913043478261,"KEM",0.385281385281385,0.601731601731602,0.305607164137246,0.684892809200083
"90",2009-05-12,3.24590163934426,1.69565217391304,"KEM",0.523809523809524,0.337662337662338,0.615794016337393,0.281928599612887
"91",2009-05-13,3.07131147540984,1.43478260869565,"KEM",0.19047619047619,0.0432900432900433,0.509239554819398,0.0400423416754983
"92",2009-05-14,2.95081967213115,1.34782608695652,"KEM",0.242424242424242,0.19047619047619,0.352085422677999,0.230737779187669
"93",2009-05-15,2.89754098360656,1.21739130434783,"KEM",0.424242424242424,0.0865800865800866,0.66604127522502,0.0476265916296742
"94",2009-05-18,2.81147540983607,1.19565217391304,"KEM",0.333333333333333,0.393939393939394,0.337823817950221,0.454371534208871
"95",2009-05-19,3,1.08695652173913,"KEM",0.930735930735931,0.103896103896104,0.964247232604724,0.0613217019438178
"96",2009-05-20,2.9672131147541,1.04347826086957,"KEM",0.519480519480519,0.255411255411255,0.652078470463092,0.190233694852654
"97",2009-05-21,2.86475409836066,0.978260869565217,"KEM",0.281385281385281,0.177489177489178,0.420962079219983,0.188316553535745
"98",2009-05-22,2.86065573770492,0.978260869565217,"KEM",0.558441558441558,0.601731601731602,0.521099716826687,0.602171985210828
"99",2009-05-26,2.84016393442623,0.978260869565217,"KEM",0.528138528138528,0.601731601731602,0.481531301306139,0.618073742961815
"100",2009-05-27,2.86311475409836,1.04347826086957,"KEM",0.670995670995671,0.909090909090909,0.423859277793606,0.93522115343536
"101",2009-05-28,2.62295081967213,1,"KEM",0.112554112554113,0.246753246753247,0.114999274070975,0.448921032383776
"102",2009-05-29,2.86475409836066,1.02173913043478,"KEM",0.956709956709957,0.761904761904762,0.968705819688745,0.435565703526176
"103",2009-06-01,2.86885245901639,1.19565217391304,"KEM",0.619047619047619,0.978354978354978,0.288968036400211,0.99281874569014
