"","X1","BANC","CFFI","long_distance","Fx","Fy","MI_X","MI_Y"
"66",2009-04-07,0.746113989637306,0.936555891238671,"BANC",0.83982683982684,0.662337662337662,0.860200178105779,0.642102317781419
"67",2009-04-08,0.700518134715026,0.936555891238671,"BANC",0.0692640692640693,0.662337662337662,0.0485716295605522,0.662909242765666
"68",2009-04-09,0.734715025906736,0.861027190332326,"BANC",0.930735930735931,0.0562770562770563,0.906998690816067,0.070830006930618
"69",2009-04-13,0.797927461139896,0.861027190332326,"BANC",0.982683982683983,0.662337662337662,0.990426897599704,0.567806704281999
"70",2009-04-14,0.797927461139896,0.91238670694864,"BANC",0.597402597402597,0.930735930735931,0.554004851665057,0.951060966822367
"71",2009-04-15,0.774093264248705,0.845921450151057,"BANC",0.151515151515152,0.0779220779220779,0.198612007095895,0.0824116712755107
"72",2009-04-16,0.81139896373057,0.800604229607251,NA,0.930735930735931,0.0995670995670996,0.925720430048362,0.118906189557075
"73",2009-04-17,0.870466321243523,0.77583081570997,NA,0.965367965367965,0.177489177489178,0.97259208678021,0.223535391380191
"74",2009-04-20,0.773056994818653,0.904531722054381,"BANC",0.0216450216450216,0.991341991341991,0.0862063218869148,0.97506269848201
"75",2009-04-21,0.781347150259067,0.904531722054381,"BANC",0.753246753246753,0.662337662337662,0.769186867971575,0.658721239520827
"76",2009-04-22,0.805181347150259,0.897274924471299,"BANC",0.874458874458874,0.298701298701299,0.899426187682374,0.289169733229265
"77",2009-04-23,0.805181347150259,0.981873111782477,"BANC",0.597402597402597,0.974025974025974,0.532656840483361,0.985289929918598
"78",2009-04-24,0.84559585492228,0.922054380664653,"BANC",0.935064935064935,0.0952380952380952,0.929026761929761,0.116742908803739
"79",2009-04-27,0.81139896373057,0.894259818731118,"BANC",0.0995670995670996,0.181818181818182,0.0993927745777521,0.218781841991621
"80",2009-04-28,0.785492227979275,0.906344410876133,"BANC",0.147186147186147,0.761904761904762,0.125870403436161,0.772533492803427
"81",2009-04-29,0.835233160621762,0.876743202416918,"BANC",0.952380952380952,0.177489177489178,0.960828784665022,0.210882544594085
"82",2009-04-30,0.829015544041451,0.891238670694864,"BANC",0.316017316017316,0.770562770562771,0.294326039922348,0.79865124218603
"83",2009-05-01,0.829015544041451,0.906344410876133,"BANC",0.597402597402597,0.774891774891775,0.586332699374554,0.798263377266304
"84",2009-05-04,0.829015544041451,0.919033232628399,"BANC",0.597402597402597,0.761904761904762,0.588019865386279,0.784482117533189
"85",2009-05-05,0.829015544041451,0.919033232628399,"BANC",0.597402597402597,0.662337662337662,0.598609347517132,0.676138609995852
"86",2009-05-06,0.837305699481865,0.921450151057402,"BANC",0.727272727272727,0.688311688311688,0.738103289066253,0.69061632676295
"87",2009-05-07,0.858031088082901,0.966767371601208,"BANC",0.844155844155844,0.909090909090909,0.804840870664472,0.904126399095408
"88",2009-05-08,0.865284974093264,0.981268882175226,"BANC",0.714285714285714,0.770562770562771,0.711437289729726,0.781164957882588
"89",2009-05-11,0.865284974093264,0.978368580060423,"BANC",0.597402597402597,0.311688311688312,0.616504785010193,0.286355044861247
"90",2009-05-12,0.865284974093264,0.966767371601208,"BANC",0.597402597402597,0.272727272727273,0.616966635562637,0.244722547383752
"91",2009-05-13,0.865284974093264,0.966767371601208,"BANC",0.597402597402597,0.662337662337662,0.598609347517132,0.676138609995852
"92",2009-05-14,0.873575129533679,0.965558912386707,"BANC",0.722943722943723,0.341991341991342,0.750330472378968,0.319178481903979
"93",2009-05-15,0.863212435233161,0.965558912386707,"BANC",0.281385281385281,0.662337662337662,0.254283027334863,0.685452301038263
"94",2009-05-18,0.830051813471503,0.966767371601208,"BANC",0.103896103896104,0.67965367965368,0.0795274661018701,0.686601501711597
"95",2009-05-19,0.833160621761658,0.966767371601208,"BANC",0.649350649350649,0.662337662337662,0.655961359006412,0.671561059682075
"96",2009-05-20,0.805181347150259,0.966767371601208,"BANC",0.142857142857143,0.662337662337662,0.11496129038408,0.676769050464202
"97",2009-05-21,0.844559585492228,0.966767371601208,"BANC",0.930735930735931,0.662337662337662,0.948339662191166,0.610946708364798
"98",2009-05-22,0.817616580310881,0.877039274924471,"BANC",0.147186147186147,0.0562770562770563,0.211582415179592,0.0589666596690294
"99",2009-05-26,0.804145077720207,0.86163746223565,"BANC",0.238095238095238,0.233766233766234,0.236768537227189,0.231315116906424
"100",2009-05-27,0.803108808290155,0.918429003021148,"BANC",0.398268398268398,0.943722943722944,0.389841290095698,0.963301300789387
"101",2009-05-28,0.787564766839378,0.966767371601208,"BANC",0.203463203463203,0.922077922077922,0.215995990433515,0.935625795738517
"102",2009-05-29,0.89119170984456,0.981873111782477,"BANC",0.995670995670996,0.770562770562771,0.997797970172666,0.595341954255842
"103",2009-06-01,0.757512953367876,0.981873111782477,"BANC",0,0.662337662337662,1e-10,0.542627079363724
"104",2009-06-02,0.783419689119171,1.08761329305136,"BANC",0.883116883116883,0.982683982683983,0.757265735385649,0.981439563484271
"105",2009-06-03,0.783419689119171,1.02719033232628,"BANC",0.597402597402597,0.0952380952380952,0.611816543878753,0.069432030549575
"106",2009-06-04,0.761658031088083,1.00060422960725,"BANC",0.16017316017316,0.194805194805195,0.16172646355828,0.208357786838756
"107",2009-06-05,0.781347150259067,1.02719033232628,"BANC",0.852813852813853,0.822510822510823,0.848012993834422,0.806096301945824
"108",2009-06-08,0.865284974093264,0.981873111782477,"BANC",0.995670995670996,0.12987012987013,0.996929547179543,0.265924523327055
"109",2009-06-09,0.803108808290155,0.980664652567976,"BANC",0.0432900432900433,0.341991341991342,0.0291480417845229,0.408529403824829
"110",2009-06-10,0.773056994818653,0.939577039274924,"BANC",0.112554112554113,0.134199134199134,0.126598566081201,0.159659591926097
"111",2009-06-11,0.73160621761658,0.966767371601208,"BANC",0.0865800865800866,0.835497835497836,0.077596616661086,0.824636105567744
"112",2009-06-12,0.709844559585492,0.966767371601208,"BANC",0.151515151515152,0.662337662337662,0.12323146740553,0.677763491332457
"113",2009-06-15,0.69119170984456,0.936555891238671,"BANC",0.164502164502165,0.177489177489178,0.17071260913312,0.188397703141844
"114",2009-06-16,0.704663212435233,0.936555891238671,"BANC",0.835497835497836,0.662337662337662,0.855766874433,0.643130169703696
"115",2009-06-17,0.678756476683938,0.921450151057402,"BANC",0.116883116883117,0.233766233766234,0.10825997992975,0.265420825421196
"116",2009-06-18,0.65699481865285,1.07009063444109,"BANC",0.147186147186147,0.991341991341991,0.253034697240755,0.993721418080312
"117",2009-06-19,0.694300518134715,1.02507552870091,"BANC",0.943722943722944,0.134199134199134,0.946948702422771,0.162743912336591
"118",2009-06-22,0.621761658031088,1.02537764350453,"BANC",0.0216450216450216,0.666666666666667,0.0119712676465426,0.642193060016955
"119",2009-06-23,0.694300518134715,1.02537764350453,"BANC",0.995670995670996,0.662337662337662,0.998270037110787,0.53587349955574
"120",2009-06-24,0.630051813471503,0.894864048338369,"BANC",0.0216450216450216,0.00865800865800866,0.110856241519103,0.0311632486386885
"121",2009-06-25,0.683937823834197,0.894864048338369,"BANC",0.982683982683983,0.662337662337662,0.990426897599704,0.567806704281999
"122",2009-06-26,0.667357512953368,1.01873111782477,"BANC",0.173160173160173,0.987012987012987,0.258495034773526,0.990964359452015
"123",2009-06-29,0.672538860103627,0.996978851963746,"BANC",0.705627705627706,0.216450216450216,0.726602032833628,0.189310602731644
"124",2009-06-30,0.710880829015544,0.996978851963746,"BANC",0.943722943722944,0.662337662337662,0.959766119586073,0.603749372877871
"125",2009-07-01,0.665284974093264,1.07129909365559,"BANC",0.0606060606060606,0.952380952380952,0.0885392591624917,0.935569646192498
