,DIOD,GRA
2008-09-26,0.7767031118587047,0.7301310043668122
2008-09-29,0.7279226240538267,0.6004366812227074
2008-09-30,0.7758620689655171,0.6602620087336245
2008-10-01,0.7203532380151387,0.625764192139738
2008-10-02,0.644659377628259,0.5240174672489083
2008-10-03,0.6261564339781329,0.4995633187772926
2008-10-06,0.5706476030277544,0.4733624454148472
2008-10-07,0.5370058873002522,0.4240174672489084
2008-10-08,0.5126156433978133,0.40873362445414846
2008-10-09,0.4693019343986543,0.3724890829694323
2008-10-10,0.42052144659377627,0.37292576419213974
2008-10-13,0.46173254835996635,0.4733624454148472
2008-10-14,0.4587888982338099,0.4554585152838428
2008-10-15,0.40748528174936915,0.39257641921397385
2008-10-16,0.4373423044575273,0.4183406113537118
2008-10-17,0.45962994112699745,0.4100436681222708
2008-10-20,0.468040370058873,0.44323144104803497
2008-10-21,0.424726661059714,0.4240174672489084
2008-10-22,0.3898233809924306,0.3541484716157205
2008-10-23,0.3730025231286795,0.340174672489083
2008-10-24,0.3574432296047098,0.36026200873362446
2008-10-27,0.34188393608074014,0.30349344978165943
2008-10-28,0.34440706476030275,0.32838427947598253
2008-10-29,0.3641715727502102,0.3213973799126638
2008-10-30,0.39571068124474346,0.3467248908296944
2008-10-31,0.415475189234651,0.39344978165938865
2008-11-03,0.4301934398654331,0.38165938864628823
2008-11-04,0.471825063078217,0.388646288209607
2008-11-05,0.42094196804037004,0.3296943231441048
2008-11-06,0.3494533221194281,0.29475982532751094
2008-11-07,0.29857022708158115,0.30611353711790396
2008-11-10,0.2729184188393608,0.28646288209606985
2008-11-11,0.2607232968881413,0.27467248908296943
2008-11-12,0.22624053826745164,0.23100436681222708
2008-11-13,0.23423044575273338,0.2436681222707424
2008-11-14,0.21740958788898232,0.1956331877729258
2008-11-17,0.20521446593776282,0.1703056768558952
2008-11-18,0.1963835155592935,0.151528384279476
2008-11-19,0.17788057190916737,0.1611353711790393
2008-11-20,0.15306980656013455,0.1314410480349345
2008-11-21,0.14465937762825903,0.16593886462882096
2008-11-24,0.15727502102607233,0.18951965065502183
2008-11-25,0.17998317914213624,0.1938864628820961
2008-11-26,0.19554247266610597,0.2183406113537118
2008-11-28,0.1963835155592935,0.2240174672489083
2008-12-01,0.16862910008410428,0.15764192139737992
2008-12-02,0.17115222876366695,0.15283842794759828
2008-12-03,0.1719932716568545,0.18646288209606987
2008-12-04,0.1770395290159798,0.22270742358078602
2008-12-05,0.18544995794785535,0.268995633187773
2008-12-08,0.1930193439865433,0.3078602620087336
2008-12-09,0.18713204373423045,0.2838427947598253
2008-12-10,0.18460891505466775,0.27816593886462887
2008-12-11,0.23675357443229603,0.2406113537117904
2008-12-12,0.2502102607232969,0.2777292576419214
2008-12-15,0.23969722455845247,0.26550218340611353
2008-12-16,0.25862068965517243,0.28253275109170306
2008-12-17,0.2867956265769554,0.2755458515283843
2008-12-18,0.2392767031118587,0.24585152838427948
2008-12-19,0.2527333894028595,0.2506550218340612
2008-12-22,0.2552565180824222,0.23231441048034937
2008-12-23,0.2615643397813288,0.22139737991266378
2008-12-24,0.24936921783010932,0.2170305676855895
2008-12-26,0.2413793103448276,0.21877729257641923
2008-12-29,0.23465096719932715,0.2161572052401747
2008-12-30,0.23843566021867113,0.23580786026200876
2008-12-31,0.2548359966358284,0.2606986899563319
