"","X1","BDC","ARCC","long_distance","Fx","Fy","MI_X","MI_Y"
"60",2009-03-30,0.612735849056604,0.689248895434462,"BDC",0.038961038961039,0.0303030303030303,0.320349412307661,0.192788800909332
"61",2009-03-31,0.590094339622642,0.712812960235641,"BDC",0.181818181818182,0.852813852813853,0.0291016974136497,0.976641334105138
"62",2009-04-01,0.627830188679245,0.759941089837997,"BDC",0.917748917748918,0.913419913419913,0.727836949063994,0.697270262819835
"63",2009-04-02,0.67122641509434,0.824742268041237,"BDC",0.939393939393939,0.952380952380952,0.663882165399223,0.794579733689454
"64",2009-04-03,0.69433962264151,0.824742268041237,"BDC",0.800865800865801,0.554112554112554,0.880990567964875,0.246924999283984
"65",2009-04-06,0.670283018867925,0.761413843888071,"BDC",0.19047619047619,0.0649350649350649,0.651855527656545,0.0706190164076068
"66",2009-04-07,0.618867924528302,0.69219440353461,"BDC",0.0432900432900433,0.038961038961039,0.286301524734906,0.231188537794772
"67",2009-04-08,0.638207547169811,0.667157584683358,"BDC",0.761904761904762,0.151515151515152,0.956879429102098,0.0274593877454987
"68",2009-04-09,0.719811320754717,0.782032400589102,"BDC",0.987012987012987,0.991341991341991,0.669046581443276,0.852221935454746
"69",2009-04-13,0.682075471698113,0.835051546391753,"BDC",0.121212121212121,0.917748917748918,0.0163783020237851,0.989439676683142
"70",2009-04-14,0.658962264150943,0.802650957290133,"BDC",0.19047619047619,0.142857142857143,0.4407047552051,0.236944342544346
"71",2009-04-15,0.683490566037736,0.814432989690722,"BDC",0.800865800865801,0.744588744588745,0.730614972692482,0.53088684663867
"72",2009-04-16,0.727358490566038,0.835051546391753,"BDC",0.922077922077922,0.796536796536797,0.914213702808847,0.364697400388368
"73",2009-04-17,0.735377358490566,0.832106038291605,"BDC",0.653679653679654,0.519480519480519,0.718566726045158,0.359012849328165
"74",2009-04-20,0.644339622641509,0.748159057437408,"BDC",0.012987012987013,0.025974025974026,0.105920342611777,0.421674030056765
"75",2009-04-21,0.684905660377358,0.8379970544919,"BDC",0.913419913419913,0.974025974025974,0.396341436217509,0.945850867946889
"76",2009-04-22,0.772641509433962,0.818851251840943,"BDC",0.987012987012987,0.298701298701299,0.998884596164207,0.0393018119072145
"77",2009-04-23,0.753301886792453,0.823269513991163,"BDC",0.251082251082251,0.606060606060606,0.101132696885145,0.855237224920192
"78",2009-04-24,0.765566037735849,0.851251840942563,"BDC",0.683982683982684,0.848484848484849,0.343946697647979,0.869472012299895
"79",2009-04-27,0.733490566037736,0.814432989690722,"BDC",0.168831168831169,0.125541125541126,0.429177400738679,0.227939964492589
"80",2009-04-28,0.728301886792453,0.827687776141384,"BDC",0.45021645021645,0.757575757575758,0.184504079080209,0.88462189433937
"81",2009-04-29,0.82877358490566,0.846833578792342,"BDC",0.987012987012987,0.787878787878788,0.995584015081258,0.142405322535894
"82",2009-04-30,0.760377358490566,0.864506627393225,"BDC",0.038961038961039,0.783549783549784,0.00435221433903687,0.970116704770703
"83",2009-05-01,0.753301886792453,0.863033873343152,"BDC",0.41991341991342,0.532467532467532,0.339234240211966,0.638906045236416
"84",2009-05-04,0.809905660377359,0.95139911634757,"BDC",0.948051948051948,0.961038961038961,0.658508563632355,0.809665523428319
"85",2009-05-05,0.831603773584906,0.972017673048601,"BDC",0.753246753246753,0.783549783549784,0.577264389317085,0.684705101281233
"86",2009-05-06,0.886320754716981,0.997054491899853,"BDC",0.922077922077922,0.800865800865801,0.911390811032046,0.37250235506563
"87",2009-05-07,0.85377358490566,1.02503681885125,"BDC",0.181818181818182,0.813852813852814,0.0317608928098647,0.967474437155177
"88",2009-05-08,0.908490566037736,1.09867452135493,"BDC",0.922077922077922,0.922077922077922,0.716762300631956,0.716762300631956
"89",2009-05-11,0.856132075471698,1.12665684830633,"BDC",0.103896103896104,0.796536796536797,0.0151208871184571,0.969132288573349
"90",2009-05-12,0.825,1.1119293078056,"BDC",0.181818181818182,0.411255411255411,0.116537627571711,0.734451776956785
"91",2009-05-13,0.762264150943396,1.02945508100147,"BDC",0.0432900432900433,0.0692640692640693,0.155751790258415,0.406052791096607
"92",2009-05-14,0.805188679245283,1.06038291605302,"BDC",0.9004329004329,0.826839826839827,0.841785435481484,0.490634358553914
