"","X1","SJW","ACE","long_distance","Fx","Fy","MI_X","MI_Y"
"64",2009-04-03,0.911254675280517,0.827267584386196,"ACE",0.766233766233766,0.913419913419913,0.444602699721822,0.912944584166574
"65",2009-04-06,0.885073104386263,0.823307561757496,"ACE",0.164502164502165,0.441558441558442,0.125490805965104,0.669296981106341
"66",2009-04-07,0.856171370282217,0.808976051291722,"ACE",0.147186147186147,0.220779220779221,0.205640889549785,0.401857688683583
"67",2009-04-08,0.893913634818089,0.828399019422968,"ACE",0.887445887445887,0.835497835497836,0.819459573354055,0.627704798383135
"68",2009-04-09,0.903434206052363,0.858570620403545,"ACE",0.653679653679654,0.887445887445887,0.357403240723764,0.916294777532949
"69",2009-04-13,0.885753145188711,0.895907976617009,NA,0.246753246753247,0.913419913419913,0.0549949189679195,0.979878513057133
"70",2009-04-14,0.836110166609997,0.845370544974543,NA,0.0692640692640693,0.0476190476190476,0.289763962732302,0.157578160990844
"71",2009-04-15,0.837470248214893,0.862719215538374,NA,0.510822510822511,0.787878787878788,0.320500629493217,0.848793788022655
"72",2009-04-16,0.879972798367902,0.875165000942862,NA,0.9004329004329,0.744588744588745,0.903315034435202,0.444921927404098
"73",2009-04-17,0.870792247534852,0.866679238167075,NA,0.350649350649351,0.354978354978355,0.400507177830397,0.409086230629459
"74",2009-04-20,0.834070044202652,0.82274184423911,NA,0.0995670995670996,0.0649350649350649,0.321732410006421,0.160322112950495
"75",2009-04-21,0.862631757905474,0.873467848387705,NA,0.861471861471861,0.943722943722944,0.509211942436104,0.913141636497578
"76",2009-04-22,0.841550493029582,0.819158966622666,NA,0.203463203463203,0.0432900432900433,0.606970955969373,0.0483642111143505
"77",2009-04-23,0.830329819789187,0.82953045445974,NA,0.324675324675325,0.718614718614719,0.182861109544265,0.84074702280909
"78",2009-04-24,0.814008840530432,0.829719026965868,NA,0.246753246753247,0.519480519480519,0.186411071525912,0.684664312390566
"79",2009-04-27,0.835430125807548,0.847444842541957,NA,0.818181818181818,0.805194805194805,0.724160119982594,0.686099945823161
"80",2009-04-28,0.856851411084665,0.851404865170658,NA,0.805194805194805,0.593073593073593,0.840319405467846,0.396391318058354
"81",2009-04-29,0.888473308398504,0.890062228927022,NA,0.878787878787879,0.917748917748918,0.645674605576894,0.832896397473004
"82",2009-04-30,0.856851411084665,0.873467848387705,NA,0.138528138528139,0.212121212121212,0.198047239640248,0.400013193977983
"83",2009-05-01,0.83304998299898,0.864416368093532,NA,0.186147186147186,0.333333333333333,0.194527008094128,0.517015610924223
"84",2009-05-04,0.831009860591636,0.887799358853479,NA,0.458874458874459,0.852813852813853,0.215964441264122,0.922497011901925
"85",2009-05-05,0.81468888133288,0.851782010182915,NA,0.246753246753247,0.0692640692640693,0.586739042367369,0.0727813790783
"86",2009-05-06,0.811628697721863,0.848764850084858,NA,0.445887445887446,0.463203463203463,0.456197003177087,0.48882108310127
"87",2009-05-07,0.800408024481469,0.824627569300396,NA,0.311688311688312,0.142857142857143,0.540450962634596,0.147471609188208
"88",2009-05-08,0.802448146888813,0.820667546671695,NA,0.523809523809524,0.441558441558442,0.568471137869751,0.414719371652537
"89",2009-05-11,0.771166269976199,0.799170280973034,NA,0.112554112554113,0.155844155844156,0.200412430580846,0.34173095407773
"90",2009-05-12,0.745324719483169,0.808221761267207,NA,0.142857142857143,0.688311688311688,0.0546290565537344,0.888820162007663
"91",2009-05-13,0.725603536212173,0.795964548368848,NA,0.194805194805195,0.242424242424242,0.263298725419752,0.378819572071249
"92",2009-05-14,0.717443046582795,0.828964736941354,"SJW",0.346320346320346,0.904761904761905,0.102813962058808,0.96966667883284
"93",2009-05-15,0.705882352941177,0.813124646426551,"SJW",0.29004329004329,0.207792207792208,0.435079686622221,0.24893340204547
"94",2009-05-18,0.716763005780347,0.856119177823873,"SJW",0.70995670995671,0.930735930735931,0.328801485431682,0.951072974032705
"95",2009-05-19,0.709282556953417,0.823118989251367,"SJW",0.350649350649351,0.0735930735930736,0.700162799772414,0.0528179625359021
"96",2009-05-20,0.683781026861612,0.804450311144635,"SJW",0.138528138528139,0.186147186147186,0.219106300307665,0.35641091988226
"97",2009-05-21,0.680040802448147,0.825759004337168,"SJW",0.415584415584416,0.848484848484849,0.185332526239785,0.926249481861707
"98",2009-05-22,0.669840190411425,0.828587591929097,"SJW",0.303030303030303,0.58008658008658,0.221834097676145,0.714555244918448
"99",2009-05-26,0.714382862971778,0.847821987554215,"SJW",0.943722943722944,0.826839826839827,0.93385001973133,0.442621207104954
"100",2009-05-27,0.690921455287317,0.815576089006223,"SJW",0.147186147186147,0.0735930735930736,0.407004379414918,0.131102226138907
"101",2009-05-28,0.689561373682421,0.828776164435225,"SJW",0.458874458874459,0.753246753246753,0.292547196373082,0.829228759291665
"102",2009-05-29,0.688541312478749,0.82953045445974,"SJW",0.463203463203463,0.541125541125541,0.431765363888474,0.577638053086704
"103",2009-06-01,0.709622577354641,0.838581934753913,"SJW",0.844155844155844,0.688311688311688,0.850518546686233,0.46821880679835
"104",2009-06-02,0.719143148588915,0.858004902885159,"SJW",0.675324675324675,0.826839826839827,0.474554278637754,0.833273621891139
"105",2009-06-03,0.722543352601156,0.858759192909674,"SJW",0.554112554112554,0.541125541125541,0.548246234774937,0.523546602489642
"106",2009-06-04,0.73036382182931,0.86875353573449,"SJW",0.653679653679654,0.692640692640693,0.579068605581276,0.661174923437482
"107",2009-06-05,0.741584495069704,0.867622100697718,"SJW",0.70995670995671,0.506493506493506,0.762672802981818,0.376451429897976
"108",2009-06-08,0.729343760625638,0.870450688289647,"SJW",0.29004329004329,0.571428571428571,0.211703090080178,0.712744221764416
"109",2009-06-09,0.735464127847671,0.864604940599661,"SJW",0.614718614718615,0.38961038961039,0.706973796340426,0.300507393909775
"110",2009-06-10,0.763685821149269,0.859136337921931,"SJW",0.878787878787879,0.398268398268398,0.949961457750213,0.150794709437823
"111",2009-06-11,0.800748044882693,0.858947765415802,"SJW",0.896103896103896,0.519480519480519,0.948152290469542,0.220049245197669
"112",2009-06-12,0.824209452567154,0.848199132566472,"SJW",0.835497835497836,0.298701298701299,0.935808807283006,0.112322779191176
"113",2009-06-15,0.752805168310099,0.825004714312653,"SJW",0.0303030303030303,0.147186147186147,0.0438530942480538,0.57538533552375
"114",2009-06-16,0.747704862291737,0.817650386573638,"SJW",0.402597402597403,0.367965367965368,0.459803822127047,0.392834357974349
"115",2009-06-17,0.764705882352941,0.81048463134075,"SJW",0.770562770562771,0.367965367965368,0.872974436009561,0.195294136201019
"116",2009-06-18,0.76878612716763,0.804073166132378,"SJW",0.562770562770563,0.372294372294372,0.656139822117895,0.308139789033923
"117",2009-06-19,0.765045902754165,0.808976051291722,"SJW",0.428571428571429,0.61038961038961,0.348253673098491,0.682032484667082
"118",2009-06-22,0.753485209112547,0.801621723552706,"SJW",0.303030303030303,0.359307359307359,0.334773831297691,0.448281267892869
"119",2009-06-23,0.745664739884393,0.810861776353008,"SJW",0.350649350649351,0.692640692640693,0.219169435801768,0.807022384220977
"120",2009-06-24,0.742264535872152,0.82821044691684,"SJW",0.432900432900433,0.80952380952381,0.227719030655292,0.890833428415962
"121",2009-06-25,0.75790547432846,0.840467659815199,"SJW",0.766233766233766,0.744588744588745,0.699112977362367,0.645851070911173
"122",2009-06-26,0.774566473988439,0.828964736941354,"SJW",0.766233766233766,0.272727272727273,0.894861279309925,0.121998258126262
"123",2009-06-29,0.765725943556613,0.828776164435225,"SJW",0.337662337662338,0.519480519480519,0.289626785662493,0.62548022646744
"124",2009-06-30,0.771846310778647,0.834056194606826,"SJW",0.593073593073593,0.614718614718615,0.5529606012247,0.595441916412535
"125",2009-07-01,0.781026861611697,0.846501980011314,"SJW",0.666666666666667,0.748917748917749,0.548945877105452,0.730776885171668
