"","X1","ATO","ES","long_distance","Fx","Fy","MI_X","MI_Y"
"68",2009-04-09,0.955298013245033,0.88477366255144,"ES",0.779220779220779,0.502164502164502,0.834897457892848,0.303746378142767
"69",2009-04-13,0.950745033112583,0.87201646090535,"ES",0.402597402597403,0.216450216450216,0.591788033897074,0.184326017114076
"70",2009-04-14,0.944950331125828,0.855144032921811,"ES",0.354978354978355,0.177489177489178,0.57939666607667,0.159110301514757
"71",2009-04-15,0.944950331125828,0.867901234567901,"ES",0.54978354978355,0.831168831168831,0.311068280236309,0.875852848023034
"72",2009-04-16,0.966887417218543,0.876954732510288,"ES",0.926406926406926,0.774891774891775,0.924018176782473,0.433202596603379
"73",2009-04-17,0.97226821192053,0.867901234567901,"ES",0.662337662337662,0.251082251082251,0.827485987825498,0.121754276347721
"74",2009-04-20,0.96523178807947,0.864197530864197,"ES",0.337662337662338,0.402597402597403,0.341182264904648,0.477234810233404
"75",2009-04-21,0.971440397350993,0.860905349794239,"ES",0.67965367965368,0.411255411255411,0.764113151619793,0.268679176453994
"76",2009-04-22,0.971440397350993,0.836625514403292,"ES",0.54978354978355,0.0909090909090909,0.868028255554928,0.0295146396098691
"77",2009-04-23,0.969784768211921,0.82880658436214,"ES",0.493506493506494,0.29004329004329,0.631230334916066,0.227422227003261
"78",2009-04-24,0.964817880794702,0.832921810699588,"ES",0.380952380952381,0.67965367965368,0.236341796486023,0.778728334503271
"79",2009-04-27,0.985927152317881,0.853086419753086,"ES",0.917748917748918,0.891774891774892,0.813648838824086,0.68816410389835
"80",2009-04-28,1.00248344370861,0.845679012345679,"ES",0.852813852813853,0.294372294372294,0.946491498334679,0.0906827171305881
"81",2009-04-29,1.02814569536424,0.843621399176955,"ES",0.926406926406926,0.441558441558442,0.972519906424414,0.130680768555426
"82",2009-04-30,1.02276490066225,0.865020576131687,"ES",0.380952380952381,0.909090909090909,0.110812720688329,0.967491407320197
"83",2009-05-01,1.0612582781457,0.888065843621399,"ES",0.965367965367965,0.917748917748918,0.914506311757641,0.560116708418969
"84",2009-05-04,1.09147350993377,0.890946502057613,"ES",0.935064935064935,0.619047619047619,0.963999381097501,0.240952153288671
"85",2009-05-05,1.06912251655629,0.895061728395062,"ES",0.0865800865800866,0.67965367965368,0.0181521220174205,0.93134019166973
"86",2009-05-06,1.06456953642384,0.883950617283951,"ES",0.424242424242424,0.229437229437229,0.604330751444513,0.189501763362787
"87",2009-05-07,1.07077814569536,0.874897119341564,"ES",0.666666666666667,0.251082251082251,0.831037524974269,0.120431679535305
"88",2009-05-08,1.06167218543046,0.872427983539095,"ES",0.294372294372294,0.432900432900433,0.265500216468197,0.553415533695202
"89",2009-05-11,1.06953642384106,0.871604938271605,"ES",0.714285714285714,0.502164502164502,0.760679595747005,0.350730849866452
"90",2009-05-12,1.06788079470199,0.879835390946502,"ES",0.493506493506494,0.761904761904762,0.307066495112848,0.819081433028573
"91",2009-05-13,1.03435430463576,0.87119341563786,"ES",0.051948051948052,0.272727272727273,0.0348913650492632,0.736460795099367
"92",2009-05-14,1.01531456953642,0.865432098765432,"ES",0.103896103896104,0.329004329004329,0.079048320463429,0.667023820681412
"93",2009-05-15,0.998758278145695,0.846913580246913,"ES",0.134199134199134,0.142857142857143,0.269303228674139,0.30209681797172
"94",2009-05-18,1.01448675496689,0.848559670781893,"ES",0.83982683982684,0.58008658008658,0.876509282803687,0.335455201441378
"95",2009-05-19,1.02028145695364,0.853909465020576,"ES",0.666666666666667,0.696969696969697,0.580467011277654,0.64568213250517
"96",2009-05-20,1.01903973509934,0.822633744855967,"ES",0.506493506493506,0.0476190476190476,0.903253700722435,0.011123629921918
"97",2009-05-21,0.995860927152318,0.832098765432099,"ES",0.0822510822510823,0.796536796536797,0.0112325496704657,0.969190604538027
"98",2009-05-22,0.989652317880795,0.832921810699588,"ES",0.350649350649351,0.567099567099567,0.260549348788334,0.672357306056193
"99",2009-05-26,1.01241721854305,0.856378600823045,"ES",0.926406926406926,0.926406926406926,0.764622607732643,0.764622607732643
"100",2009-05-27,0.978890728476821,0.847736625514403,"ES",0.0476190476190476,0.25974025974026,0.0326451363712939,0.737603919263055
"101",2009-05-28,0.985513245033113,0.849794238683128,"ES",0.688311688311688,0.606060606060606,0.672422462796031,0.50281031550201
"102",2009-05-29,0.993377483443709,0.855555555555556,"ES",0.727272727272727,0.70995670995671,0.658487157265047,0.619168778256689
"103",2009-06-01,1.00951986754967,0.891769547325103,"ES",0.83982683982684,0.956709956709957,0.427752273786662,0.947802281616092
"104",2009-06-02,1.02483443708609,0.881893004115226,"ES",0.826839826839827,0.242424242424242,0.941819979576633,0.0705164532412103
"105",2009-06-03,1.01986754966887,0.867078189300411,"ES",0.398268398268398,0.199134199134199,0.606195974223174,0.165224109779674
"106",2009-06-04,1.01365894039735,0.865843621399177,"ES",0.354978354978355,0.480519480519481,0.313946866256005,0.564505908151775
"107",2009-06-05,1.01862582781457,0.873662551440329,"ES",0.653679653679654,0.753246753246753,0.515249732142532,0.733677881841834
"108",2009-06-08,1.0273178807947,0.869135802469136,"ES",0.735930735930736,0.367965367965368,0.839706995918187,0.195404444570569
"109",2009-06-09,1.02152317880795,0.859259259259259,"ES",0.372294372294372,0.238095238095238,0.529449943924259,0.228660182031612
"110",2009-06-10,1.01903973509934,0.870781893004115,"ES",0.471861471861472,0.826839826839827,0.236911816448339,0.892136193345245
"111",2009-06-11,1.03269867549669,0.889300411522634,"ES",0.805194805194805,0.883116883116883,0.584113376167051,0.835526611396822
"112",2009-06-12,1.04884105960265,0.910288065843621,"ES",0.835497835497836,0.887445887445887,0.632776042198249,0.816875791946786
"113",2009-06-15,1.02814569536424,0.902880658436214,"ES",0.0909090909090909,0.298701298701299,0.0733104279152633,0.658767893439616
"114",2009-06-16,1.02317880794702,0.893415637860082,"ES",0.402597402597403,0.251082251082251,0.555355618661641,0.227848309761226
"115",2009-06-17,1.0260761589404,0.891358024691358,"ES",0.61038961038961,0.45021645021645,0.662305165399456,0.354766385861531
"116",2009-06-18,1.04759933774834,0.920576131687243,"ES",0.917748917748918,0.952380952380952,0.636529741743839,0.871297974041663
"117",2009-06-19,1.04097682119205,0.904115226337448,"ES",0.350649350649351,0.186147186147186,0.562290032988502,0.172570295613448
"118",2009-06-22,1.04139072847682,0.909876543209877,"ES",0.54978354978355,0.696969696969697,0.422027178478909,0.715559494622506
"119",2009-06-23,1.02938741721854,0.887242798353909,"ES",0.216450216450216,0.116883116883117,0.479033099351575,0.153978013450327
"120",2009-06-24,1.0260761589404,0.895061728395062,"ES",0.454545454545455,0.748917748917749,0.273849023049501,0.819863585845552
"121",2009-06-25,1.03932119205298,0.911522633744856,"ES",0.796536796536797,0.865800865800866,0.600028496568193,0.811585899955887
"122",2009-06-26,1.03890728476821,0.910288065843621,"ES",0.532467532467532,0.480519480519481,0.544198565044019,0.442365384327039
"123",2009-06-29,1.04759933774834,0.921810699588477,"ES",0.727272727272727,0.80952380952381,0.565265833393725,0.770222421678624
"124",2009-06-30,1.0364238410596,0.918106995884774,"ES",0.225108225108225,0.411255411255411,0.190653577616612,0.593051050612382
"125",2009-07-01,1.06539735099338,0.945679012345679,"ES",0.930735930735931,0.939393939393939,0.737910617814444,0.796853722834596
