,SSS,LSI
2008-07-18,0.9640444015444016,0.9640444015444016
2008-07-21,0.9717664092664094,0.9717664092664094
2008-07-22,1.005791505791506,1.005791505791506
2008-07-23,1.0258204633204633,1.0258204633204633
2008-07-24,0.9838320463320465,0.9838320463320465
2008-07-25,1.0103764478764479,1.0103764478764479
2008-07-28,1.0074806949806951,1.0074806949806951
2008-07-29,1.0528474903474905,1.0528474903474905
2008-07-30,1.0306467181467183,1.0306467181467183
2008-07-31,1.0089285714285716,1.0089285714285716
2008-08-01,0.994449806949807,0.994449806949807
2008-08-04,0.9645270270270271,0.9645270270270271
2008-08-05,0.9799710424710425,0.9799710424710425
2008-08-06,0.9507722007722008,0.9507722007722008
2008-08-07,0.9184362934362935,0.9184362934362935
2008-08-08,0.9319498069498069,0.9319498069498069
2008-08-11,0.9691119691119691,0.9691119691119691
2008-08-12,0.9638030888030888,0.9638030888030888
2008-08-13,0.9606660231660232,0.9606660231660232
2008-08-14,0.9688706563706564,0.9688706563706564
2008-08-15,0.9703185328185329,0.9703185328185329
2008-08-18,0.9481177606177607,0.9481177606177607
2008-08-19,0.9314671814671815,0.9314671814671815
2008-08-20,0.9261583011583012,0.9261583011583012
2008-08-21,0.911438223938224,0.911438223938224
2008-08-22,0.9444980694980696,0.9444980694980696
2008-08-25,0.9220559845559846,0.9220559845559846
2008-08-26,0.9372586872586874,0.9372586872586874
2008-08-27,0.9302606177606177,0.9302606177606177
2008-08-28,0.938465250965251,0.938465250965251
2008-08-29,0.9290540540540541,0.9290540540540541
2008-09-02,0.9527027027027026,0.9527027027027026
2008-09-03,0.994449806949807,0.994449806949807
2008-09-04,0.9838320463320465,0.9838320463320465
2008-09-05,0.9780405405405406,0.9780405405405406
2008-09-08,1.0074806949806951,1.0074806949806951
2008-09-09,0.9751447876447876,0.9751447876447876
2008-09-10,0.9734555984555986,0.9734555984555986
2008-09-11,0.9806949806949807,0.9806949806949807
2008-09-12,1.001930501930502,1.001930501930502
2008-09-15,0.9471525096525097,0.9471525096525097
2008-09-16,0.9773166023166023,0.9773166023166023
2008-09-17,0.9500482625482626,0.9500482625482626
2008-09-18,1.0678088803088803,1.0678088803088803
2008-09-19,1.0482625482625483,1.0482625482625483
2008-09-22,0.9985521235521236,0.9985521235521236
2008-09-23,1.0014478764478765,1.0014478764478765
2008-09-24,0.9985521235521236,0.9985521235521236
2008-09-25,1.0,1.0
2008-09-26,1.0284749034749034,1.0284749034749034
2008-09-29,1.0209942084942085,1.0209942084942085
2008-09-30,1.078426640926641,1.078426640926641
2008-10-01,1.0617760617760619,1.0617760617760619
2008-10-02,1.0004826254826256,1.0004826254826256
2008-10-03,0.9992760617760618,0.9992760617760618
2008-10-06,0.9577702702702703,0.9577702702702703
2008-10-07,0.861969111969112,0.861969111969112
2008-10-08,0.8431467181467182,0.8431467181467182
2008-10-09,0.7666505791505792,0.7666505791505792
2008-10-10,0.7924710424710426,0.7924710424710426
2008-10-13,0.8812741312741313,0.8812741312741313
2008-10-14,0.8325289575289576,0.8325289575289576
2008-10-15,0.7731660231660232,0.7731660231660232
2008-10-16,0.8402509652509653,0.8402509652509653
2008-10-17,0.8445945945945946,0.8445945945945946
2008-10-20,0.8602799227799228,0.8602799227799228
2008-10-21,0.8334942084942085,0.8334942084942085
2008-10-22,0.7734073359073359,0.7734073359073359
2008-10-23,0.7306949806949807,0.7306949806949807
2008-10-24,0.6751930501930502,0.6751930501930502
2008-10-27,0.625,0.625
2008-10-28,0.7203185328185329,0.7203185328185329
2008-10-29,0.7319015444015444,0.7319015444015444
2008-10-30,0.7427606177606179,0.7427606177606179
2008-10-31,0.7830598455598456,0.7830598455598456
2008-11-03,0.7601351351351352,0.7601351351351352
2008-11-04,0.7811293436293436,0.7811293436293436
2008-11-05,0.7396235521235521,0.7396235521235521
2008-11-06,0.7181467181467183,0.7181467181467183
2008-11-07,0.730453667953668,0.730453667953668
2008-11-10,0.6701254826254827,0.6701254826254827
2008-11-11,0.6749517374517374,0.6749517374517374
2008-11-12,0.6266891891891891,0.6266891891891891
2008-11-13,0.6986003861003861,0.6986003861003861
2008-11-14,0.6315154440154441,0.6315154440154441
2008-11-17,0.612934362934363,0.612934362934363
2008-11-18,0.6199324324324325,0.6199324324324325
2008-11-19,0.5398166023166023,0.5398166023166023
2008-11-20,0.4975868725868726,0.4975868725868726
2008-11-21,0.5086872586872587,0.5086872586872587
2008-11-24,0.5880791505791506,0.5880791505791506
2008-11-25,0.6199324324324325,0.6199324324324325
2008-11-26,0.6563706563706564,0.6563706563706564
2008-11-28,0.6554054054054055,0.6554054054054055
2008-12-01,0.5555019305019305,0.5555019305019305
2008-12-02,0.6206563706563707,0.6206563706563707
2008-12-03,0.6643339768339769,0.6643339768339769
2008-12-04,0.6619208494208495,0.6619208494208495
2008-12-05,0.7355212355212356,0.7355212355212356
2008-12-08,0.7905405405405406,0.7905405405405406
2008-12-09,0.7384169884169884,0.7384169884169884
2008-12-10,0.7842664092664093,0.7842664092664093
2008-12-11,0.7166988416988417,0.7166988416988417
2008-12-12,0.7842664092664093,0.7842664092664093
2008-12-15,0.774372586872587,0.774372586872587
2008-12-16,0.8400096525096526,0.8400096525096526
2008-12-17,0.8626930501930502,0.8626930501930502
2008-12-18,0.8342181467181468,0.8342181467181468
2008-12-19,0.8597972972972974,0.8597972972972974
2008-12-22,0.8426640926640927,0.8426640926640927
2008-12-23,0.8397683397683398,0.8397683397683398
2008-12-24,0.8419401544401545,0.8419401544401545
2008-12-26,0.8327702702702703,0.8327702702702703
2008-12-29,0.8001930501930502,0.8001930501930502
2008-12-30,0.8178088803088803,0.8178088803088803
2008-12-31,0.8687258687258688,0.8687258687258688
