"","X1","IVZ","BBY","long_distance","Fx","Fy","MI_X","MI_Y"
"109",2009-06-09,1.20266666666667,1.3618194348725,"IVZ",0.792207792207792,0.818181818181818,0.611926724726794,0.716611979918923
"110",2009-06-10,1.20333333333333,1.32736044107512,"IVZ",0.54978354978355,0.203463203463203,0.827669967600569,0.0890672327152159
"111",2009-06-11,1.23666666666667,1.2829083390765,"IVZ",0.796536796536797,0.134199134199134,0.979814095248842,0.013149292017079
"112",2009-06-12,1.24866666666667,1.32839421088904,"IVZ",0.636363636363636,0.874458874458874,0.242596500345647,0.932457151788157
"113",2009-06-15,1.18266666666667,1.33218470020675,"IVZ",0.108225108225108,0.575757575757576,0.0229598276353176,0.92152216084871
"114",2009-06-16,1.15266666666667,1.23501033769814,"IVZ",0.255411255411255,0.0216450216450216,0.922911775762457,0.00486447989996626
"115",2009-06-17,1.112,1.23604410751206,"IVZ",0.164502164502165,0.54978354978355,0.0588676254765472,0.860934973673461
"116",2009-06-18,1.11733333333333,1.17401791867677,"IVZ",0.588744588744589,0.0735930735930736,0.951702264534959,0.0098592455563976
"117",2009-06-19,1.16533333333333,1.18470020675396,"IVZ",0.852813852813853,0.645021645021645,0.905234956500381,0.291728535557989
"118",2009-06-22,1.07066666666667,1.15230875258442,"IVZ",0.0692640692640693,0.199134199134199,0.0712582540361592,0.672265509295126
"119",2009-06-23,1.09933333333333,1.13645761543763,"IVZ",0.792207792207792,0.359307359307359,0.934029489046115,0.107067702963486
"120",2009-06-24,1.13466666666667,1.13611302549966,"IVZ",0.80952380952381,0.532467532467532,0.899908892035768,0.232304454980902
"121",2009-06-25,1.13,1.17332873880083,"IVZ",0.493506493506494,0.865800865800866,0.137857795282438,0.955852679973966
"122",2009-06-26,1.17533333333333,1.15713301171606,NA,0.844155844155844,0.359307359307359,0.96294137137962,0.0790615810369787
"123",2009-06-29,1.17866666666667,1.17229496898691,NA,0.567099567099567,0.718614718614719,0.3823974915281,0.770875158282176
"124",2009-06-30,1.188,1.15403170227429,NA,0.614718614718615,0.337662337662338,0.790653735777348,0.189088700075801
"125",2009-07-01,1.17933333333333,1.17160578911096,NA,0.463203463203463,0.735930735930736,0.235526466274965,0.85129524366733
