"","X1","EMR","OKE","long_distance","Fx","Fy","MI_X","MI_Y"
"65",2009-04-06,0.813965744400527,0.77875816993464,NA,0.134199134199134,0.277056277056277,0.13820460706152,0.56770402488192
"66",2009-04-07,0.813965744400527,0.766339869281046,NA,0.510822510822511,0.225108225108225,0.729850916487801,0.139496368255779
"67",2009-04-08,0.796047430830039,0.772549019607843,NA,0.212121212121212,0.696969696969697,0.072566460809224,0.892627318834151
"68",2009-04-09,0.843214756258234,0.791503267973856,NA,0.961038961038961,0.891774891774892,0.930585710696615,0.442988669651236
"69",2009-04-13,0.832674571805007,0.798366013071895,NA,0.294372294372294,0.705627705627706,0.128967334544655,0.862597125862624
"70",2009-04-14,0.827404479578392,0.790849673202614,NA,0.393939393939394,0.333333333333333,0.481048469288352,0.343498720448965
"71",2009-04-15,0.840316205533597,0.794444444444444,NA,0.787878787878788,0.61038961038961,0.81501106121141,0.400043258588427
"72",2009-04-16,0.869828722002635,0.81437908496732,NA,0.9004329004329,0.896103896103896,0.74154205420953,0.71794849811864
"73",2009-04-17,0.870619235836627,0.826143790849673,NA,0.536796536796537,0.792207792207792,0.305829078522363,0.852339189622541
"74",2009-04-20,0.834255599472991,0.801960784313725,NA,0.0909090909090909,0.125541125541126,0.201654851943829,0.376283506250479
"75",2009-04-21,0.855335968379447,0.821241830065359,NA,0.848484848484849,0.883116883116883,0.638395495797202,0.78615216852841
"76",2009-04-22,0.862977602108037,0.816993464052288,NA,0.692640692640693,0.437229437229437,0.784045718775036,0.27404400523044
"77",2009-04-23,0.863241106719367,0.816339869281046,NA,0.523809523809524,0.519480519480519,0.511966507223483,0.502767456406352
"78",2009-04-24,0.885375494071146,0.831045751633987,NA,0.852813852813853,0.835497835497836,0.738144322272236,0.672549231574942
"79",2009-04-27,0.871936758893281,0.845424836601307,NA,0.285714285714286,0.835497835497836,0.075872367603161,0.950668898729924
"80",2009-04-28,0.862977602108037,0.82875816993464,NA,0.324675324675325,0.194805194805195,0.537410919652749,0.196931137053188
"81",2009-04-29,0.885638998682477,0.860130718954248,NA,0.852813852813853,0.943722943722944,0.445660004874393,0.920531107073833
"82",2009-04-30,0.896969696969697,0.855228758169935,NA,0.757575757575758,0.424242424242424,0.857633522117201,0.216827100111248
"83",2009-05-01,0.937549407114624,0.863725490196078,NA,0.935064935064935,0.731601731601732,0.955147922528171,0.293298248348955
"84",2009-05-04,0.984189723320158,0.909803921568627,NA,0.948051948051948,0.961038961038961,0.666893940837179,0.81739922542409
"85",2009-05-05,0.969433465085639,0.895424836601307,NA,0.29004329004329,0.225108225108225,0.444041144942192,0.269869799689722
"86",2009-05-06,0.958102766798419,0.916666666666667,NA,0.303030303030303,0.883116883116883,0.0659603983990274,0.970706038431363
"87",2009-05-07,0.934387351778656,0.887254901960784,NA,0.186147186147186,0.116883116883117,0.446781964256776,0.181265152199788
"88",2009-05-08,0.960737812911726,0.916013071895425,NA,0.857142857142857,0.930735930735931,0.511389426069254,0.887586447984901
"89",2009-05-11,0.930698287220026,0.915686274509804,NA,0.147186147186147,0.532467532467532,0.0629150987959126,0.823594693057575
"90",2009-05-12,0.933860342555995,0.90718954248366,NA,0.593073593073593,0.337662337662338,0.730419078518831,0.222373183271555
"91",2009-05-13,0.886166007905138,0.868300653594771,NA,0.051948051948052,0.0735930735930736,0.182908305699265,0.358040710030223
"92",2009-05-14,0.894071146245059,0.882352941176471,NA,0.692640692640693,0.818181818181818,0.476425799912216,0.811813534180968
"93",2009-05-15,0.889328063241107,0.865032679738562,NA,0.415584415584416,0.194805194805195,0.656952894149393,0.146196664716124
"94",2009-05-18,0.917259552042161,0.899019607843137,NA,0.878787878787879,0.943722943722944,0.507580713377327,0.897158857563216
"95",2009-05-19,0.898814229249012,0.913398692810457,NA,0.225108225108225,0.813852813852814,0.0529538016080791,0.951601137809904
