"","X1","TJX","DHR","long_distance","Fx","Fy","MI_X","MI_Y"
"73",2009-04-17,1.31508120649652,0.954325259515571,"DHR",0.848484848484849,0.632034632034632,0.895793003345152,0.278905533216402
"74",2009-04-20,1.26728538283063,0.920242214532872,"DHR",0.0909090909090909,0.0779220779220779,0.332426218068739,0.242726235155471
"75",2009-04-21,1.30487238979118,0.940484429065744,"DHR",0.883116883116883,0.878787878787879,0.704276861976307,0.681061798275806
"76",2009-04-22,1.28955916473318,0.952249134948097,"DHR",0.32034632034632,0.761904761904762,0.0934634051186601,0.927448240781596
"77",2009-04-23,1.27795823665893,1.00415224913495,"DHR",0.385281385281385,0.96969696969697,0.0526600441531293,0.996256369657551
"78",2009-04-24,1.30533642691415,1.04550173010381,"DHR",0.818181818181818,0.952380952380952,0.307610889955666,0.952797218817755
"79",2009-04-27,1.25290023201856,1.0121107266436,"DHR",0.0735930735930736,0.0909090909090909,0.226439063826576,0.348250415995662
"80",2009-04-28,1.2969837587007,0.994809688581315,"DHR",0.909090909090909,0.212121212121212,0.987379702874696,0.0307525511571834
"81",2009-04-29,1.28352668213457,1.02076124567474,"DHR",0.359307359307359,0.904761904761905,0.0658607432891324,0.981608853940978
"82",2009-04-30,1.29791183294664,1.01107266435986,"DHR",0.67965367965368,0.32034632034632,0.875086307520237,0.124913692479762
"83",2009-05-01,1.29327146171694,1.02404844290657,"DHR",0.480519480519481,0.770562770562771,0.203427508532952,0.882015777443539
"84",2009-05-04,1.34663573085847,1.06124567474048,"DHR",0.926406926406926,0.948051948051948,0.627679572042019,0.815375222038186
"85",2009-05-05,1.34849187935035,1.07837370242215,"DHR",0.528138528138528,0.813852813852814,0.21039645908369,0.902887345044568
"86",2009-05-06,1.32343387470998,1.07525951557093,"DHR",0.25974025974026,0.445887445887446,0.192569640135849,0.686189877429428
"87",2009-05-07,1.32946635730858,1.05536332179931,"DHR",0.593073593073593,0.194805194805195,0.874788883707148,0.0680641113775303
"88",2009-05-08,1.30208816705336,1.06193771626298,"DHR",0.238095238095238,0.653679653679654,0.0790970796575322,0.891889091525329
"89",2009-05-11,1.292343387471,1.04532871972318,"DHR",0.411255411255411,0.220779220779221,0.686211680505466,0.165562009416104
"90",2009-05-12,1.30997679814385,1.03979238754325,"DHR",0.714285714285714,0.385281385281385,0.873903224201159,0.158389093151997
"91",2009-05-13,1.28074245939675,1.00968858131488,"DHR",0.212121212121212,0.108225108225108,0.566983627541542,0.13812365745249
"92",2009-05-14,1.24593967517401,1.00553633217993,"DHR",0.151515151515152,0.415584415584416,0.0849157801811461,0.771723002099238
"93",2009-05-15,1.24547563805104,1.00069204152249,"DHR",0.506493506493506,0.406926406926407,0.612607182161218,0.347335581035625
"94",2009-05-18,1.29651972157773,1.02750865051903,"DHR",0.926406926406926,0.909090909090909,0.773560936173424,0.651749584004338
"95",2009-05-19,1.34709976798144,1.03737024221453,"DHR",0.917748917748918,0.701298701298701,0.947453619524811,0.247321435150626
"96",2009-05-20,1.31368909512761,1.04446366782007,"DHR",0.181818181818182,0.662337662337662,0.0482948327268814,0.916246862513276
"97",2009-05-21,1.30904872389791,1.02076124567474,"DHR",0.480519480519481,0.151515151515152,0.826970480613599,0.0656590719501283
"98",2009-05-22,1.3122969837587,1.02456747404844,"DHR",0.545454545454545,0.61038961038961,0.448121489378244,0.625727364390426
"99",2009-05-26,1.36426914153132,1.06020761245675,"DHR",0.922077922077922,0.948051948051948,0.608555728670381,0.827063669992841
"100",2009-05-27,1.3554524361949,1.04307958477509,"DHR",0.428571428571429,0.216450216450216,0.71283683283918,0.14954283032117
"101",2009-05-28,1.33781902552204,1.03823529411765,"DHR",0.303030303030303,0.406926406926407,0.287148463777745,0.579506307666259
"102",2009-05-29,1.36937354988399,1.04411764705882,"DHR",0.831168831168831,0.645021645021645,0.867413366821107,0.319308677337428
"103",2009-06-01,1.42552204176334,1.0939446366782,"DHR",0.926406926406926,0.956709956709957,0.57857161055447,0.854521669576098
"104",2009-06-02,1.42273781902552,1.08598615916955,"DHR",0.493506493506494,0.350649350649351,0.653284402057407,0.27772494406637
"105",2009-06-03,1.42598607888631,1.07543252595156,"DHR",0.545454545454545,0.32034632034632,0.748815854971884,0.198343650879883
"106",2009-06-04,1.41299303944316,1.08910034602076,"DHR",0.380952380952381,0.766233766233766,0.127877536308962,0.913960114862471
"107",2009-06-05,1.41624129930394,1.10138408304498,"DHR",0.545454545454545,0.727272727272727,0.316761675809013,0.796706910370118
"108",2009-06-08,1.4292343387471,1.10173010380623,"DHR",0.645021645021645,0.523809523809524,0.700271557207395,0.376237869515396
"109",2009-06-09,1.43805104408353,1.10709342560554,"DHR",0.614718614718615,0.632034632034632,0.534976421583939,0.584188017007962
"110",2009-06-10,1.415313225058,1.09290657439446,"DHR",0.268398268398268,0.268398268398268,0.386874384850331,0.386874384850331
"111",2009-06-11,1.38979118329466,1.09411764705882,"DHR",0.264069264069264,0.558441558441558,0.13257996675581,0.806412156715919
