"","X1","PFG","M","long_distance","Fx","Fy","MI_X","MI_Y"
"84",2009-05-04,0.717372881355932,1.34426229508197,"PFG",0.939393939393939,0.961038961038961,0.604422094751096,0.853390121577755
"85",2009-05-05,0.794491525423729,1.32969034608379,"PFG",0.943722943722944,0.454545454545455,0.989108314383024,0.119175491339721
"86",2009-05-06,0.986864406779661,1.25045537340619,"PFG",0.987012987012987,0.121212121212121,0.997646288638949,0.0554082772000685
"87",2009-05-07,0.908898305084746,1.16757741347905,"PFG",0.0909090909090909,0.0995670995670996,0.25303592994914,0.311178355969968
"88",2009-05-08,1.00338983050847,1.16848816029144,"PFG",0.939393939393939,0.528138528138528,0.985876946223927,0.1455310405839
"89",2009-05-11,0.861864406779661,1.15573770491803,"PFG",0.038961038961039,0.454545454545455,0.00731989150142953,0.862593068787663
"90",2009-05-12,0.836440677966102,1.1247723132969,"PFG",0.25974025974026,0.333333333333333,0.276633929025907,0.501871814458048
"91",2009-05-13,0.786016949152542,1.04918032786885,"PFG",0.116883116883117,0.0995670995670996,0.34198484807142,0.237368156231262
"92",2009-05-14,0.799152542372881,1.03096539162113,"PFG",0.688311688311688,0.402597402597403,0.83860426526879,0.201635763557953
"93",2009-05-15,0.78728813559322,1.03187613843352,"PFG",0.376623376623377,0.528138528138528,0.281179840841876,0.668923394048695
"94",2009-05-18,0.871610169491525,1.10564663023679,"PFG",0.943722943722944,0.939393939393939,0.758318438473503,0.714238618302465
"95",2009-05-19,0.881779661016949,1.12112932604736,"PFG",0.653679653679654,0.645021645021645,0.596806485294951,0.571589123879775
"96",2009-05-20,0.85635593220339,1.08014571948998,"PFG",0.268398268398268,0.233766233766234,0.421201236597737,0.304085832061813
"97",2009-05-21,0.858050847457627,1.02732240437158,"PFG",0.528138528138528,0.164502164502165,0.824337247608233,0.0632265152534311
"98",2009-05-22,0.872033898305085,1.01912568306011,"PFG",0.688311688311688,0.458874458874459,0.809739234515175,0.260224364460538
"99",2009-05-26,0.88093220338983,1.0792349726776,"PFG",0.636363636363636,0.904761904761905,0.235362008877391,0.957447832518919
"100",2009-05-27,0.871186440677966,1.0528233151184,"PFG",0.424242424242424,0.354978354978355,0.534786731870885,0.342642909574897
"101",2009-05-28,0.924152542372881,1.01730418943534,"PFG",0.904761904761905,0.272727272727273,0.980064956461424,0.0721245077915811
"102",2009-05-29,0.940677966101695,1.06375227686703,"PFG",0.692640692640693,0.831168831168831,0.405172520853053,0.850140365892103
"103",2009-06-01,0.950847457627119,1.22404371584699,"PFG",0.640692640692641,0.982683982683983,0.142201419934981,0.997355125208949
"104",2009-06-02,0.941949152542373,1.2632058287796,"PFG",0.437229437229437,0.74025974025974,0.203279711631798,0.87218485069611
"105",2009-06-03,0.886864406779661,1.21311475409836,"PFG",0.12987012987013,0.207792207792208,0.168728709446806,0.493789535318795
"106",2009-06-04,0.913983050847458,1.17304189435337,"PFG",0.796536796536797,0.281385281385281,0.940529833856498,0.0850102657639062
"107",2009-06-05,0.941949152542373,1.16666666666667,"PFG",0.796536796536797,0.489177489177489,0.903746825863972,0.212517620647762
"108",2009-06-08,0.938559322033898,1.16302367941712,"PFG",0.502164502164502,0.506493506493506,0.496598447016789,0.508323607831633
"109",2009-06-09,0.93093220338983,1.16757741347905,"PFG",0.445887445887446,0.58008658008658,0.33395099182374,0.679911865532474
"110",2009-06-10,0.916949152542373,1.15027322404372,"PFG",0.376623376623377,0.415584415584416,0.387178222177791,0.495865165453578
"111",2009-06-11,0.903813559322034,1.09289617486339,"PFG",0.376623376623377,0.151515151515152,0.708554134835196,0.0911317061641434
"112",2009-06-12,0.885169491525424,1.14116575591985,"PFG",0.324675324675325,0.818181818181818,0.100873350454121,0.94625433869628
"113",2009-06-15,0.825423728813559,1.0856102003643,"PFG",0.116883116883117,0.164502164502165,0.195762851147302,0.427110552894273
"114",2009-06-16,0.803813559322034,1.02459016393443,"PFG",0.285714285714286,0.125541125541126,0.636752938299172,0.0999335721172707
"115",2009-06-17,0.775,1.02276867030965,"PFG",0.220779220779221,0.506493506493506,0.112824137786058,0.771546030137265
"116",2009-06-18,0.789830508474576,0.968123861566485,"PFG",0.714285714285714,0.134199134199134,0.921471116048368,0.0324505720362174
"117",2009-06-19,0.805084745762712,1.03734061930783,"PFG",0.714285714285714,0.939393939393939,0.245171637184382,0.9719869938433
"118",2009-06-22,0.742372881355932,1.03551912568306,"PFG",0.0909090909090909,0.506493506493506,0.0249483738242352,0.851635807755915
"119",2009-06-23,0.767372881355932,0.991803278688525,"PFG",0.813852813852814,0.199134199134199,0.952296196558268,0.0516916175894162
"120",2009-06-24,0.800423728813559,1.03734061930783,"PFG",0.848484848484849,0.831168831168831,0.724126466442239,0.646075826258572
"121",2009-06-25,0.827542372881356,1.07741347905282,"PFG",0.813852813852814,0.787878787878788,0.715239961266902,0.614272487372116
"122",2009-06-26,0.809745762711864,1.06284153005464,"PFG",0.324675324675325,0.428571428571429,0.290381599391302,0.576109164639758
"123",2009-06-29,0.813135593220339,1.08743169398907,"PFG",0.554112554112554,0.70995670995671,0.360362929186787,0.774983054650381
"124",2009-06-30,0.798305084745763,1.07103825136612,"PFG",0.346320346320346,0.415584415584416,0.337294108322898,0.530663223675995
"125",2009-07-01,0.805084745762712,1.06921675774135,"PFG",0.614718614718615,0.506493506493506,0.676301146527889,0.38962295338377
