"","X1","GRT","PEI","long_distance","Fx","Fy","MI_X","MI_Y"
"92",2009-05-14,0.95985401459854,0.756680731364276,"PEI",0.203463203463203,0.913419913419913,0.0321976928052653,0.989478313977691
"93",2009-05-15,0.854014598540146,0.682137834036568,"PEI",0.051948051948052,0.0692640692640693,0.199431989769474,0.435699605499778
"94",2009-05-18,1.0036496350365,0.756680731364276,"PEI",0.96969696969697,0.952380952380952,0.853744029031202,0.507575380757463
"95",2009-05-19,0.981751824817518,0.722925457102672,"PEI",0.307359307359307,0.181818181818182,0.658959462251814,0.149123325171696
"96",2009-05-20,0.970802919708029,0.742616033755274,"PEI",0.428571428571429,0.805194805194805,0.105769370365574,0.950334202525082
"97",2009-05-21,0.91970802919708,0.720112517580872,"PEI",0.138528138528139,0.229437229437229,0.149644907944809,0.608045743942193
"98",2009-05-22,0.890510948905109,0.729957805907173,"PEI",0.212121212121212,0.701298701298701,0.040644878134732,0.941215206382435
"99",2009-05-26,0.912408759124087,0.812939521800281,"PEI",0.796536796536797,0.956709956709957,0.177842085255176,0.982152321646914
"100",2009-05-27,0.872262773722628,0.772151898734177,"PEI",0.168831168831169,0.164502164502165,0.365351005272116,0.339527538765061
"101",2009-05-28,0.956204379562044,0.772151898734177,"PEI",0.939393939393939,0.528138528138528,0.991637920183263,0.087905390614305
"102",2009-05-29,1.00729927007299,0.784810126582278,"PEI",0.891774891774892,0.722943722943723,0.937949088293138,0.243041581444065
"103",2009-06-01,1.06934306569343,0.831223628691983,"PEI",0.922077922077922,0.913419913419913,0.726398823690354,0.634688266598792
"104",2009-06-02,1.05474452554745,0.822784810126582,"PEI",0.385281385281385,0.415584415584416,0.399921554856962,0.509647817499267
"105",2009-06-03,1.04014598540146,0.80450070323488,"PEI",0.385281385281385,0.285714285714286,0.613304211244427,0.248592666027313
"106",2009-06-04,1.27007299270073,0.849507735583685,"PEI",0.982683982683983,0.913419913419913,0.984981756949382,0.202225659923743
"107",2009-06-05,1.28467153284672,0.870604781997187,"PEI",0.670995670995671,0.792207792207792,0.352616060919954,0.827344230555489
"108",2009-06-08,1.25912408759124,0.838255977496484,"PEI",0.329004329004329,0.199134199134199,0.66313742280964,0.1579007047734
"109",2009-06-09,1.2043795620438,0.821378340365682,"PEI",0.168831168831169,0.311688311688312,0.124176134365669,0.690652110236458
"110",2009-06-10,1.19343065693431,0.80028129395218,"PEI",0.45021645021645,0.246753246753247,0.763950447541602,0.131802210208912
"111",2009-06-11,1.1970802919708,0.777777777777778,"PEI",0.593073593073593,0.242424242424242,0.886341991560606,0.0706658690958997
"112",2009-06-12,1.09124087591241,0.811533052039381,"PEI",0.0735930735930736,0.861471861471861,0.00974168759636759,0.976813311936307
"113",2009-06-15,0.974452554744525,0.741209563994374,"PEI",0.051948051948052,0.0779220779220779,0.163137683925507,0.488925032696949
"114",2009-06-16,0.945255474452555,0.720112517580872,"PEI",0.229437229437229,0.242424242424242,0.351370718132223,0.412272491520718
"115",2009-06-17,0.963503649635036,0.69620253164557,"PEI",0.757575757575758,0.216450216450216,0.957227388307974,0.0376221647846096
"116",2009-06-18,1.08029197080292,0.679324894514768,"PEI",0.943722943722944,0.25974025974026,0.99432629303338,0.0419196376881921
"117",2009-06-19,1.02554744525547,0.763713080168776,"PEI",0.142857142857143,0.956709956709957,0.027589676990575,0.994817589916572
"118",2009-06-22,0.930656934306569,0.763713080168776,"PEI",0.0692640692640693,0.528138528138528,0.00912818412032836,0.921671429644778
"119",2009-06-23,0.91970802919708,0.70323488045007,"PEI",0.411255411255411,0.0952380952380952,0.872238693019301,0.0229311037930242
"120",2009-06-24,0.934306569343066,0.691983122362869,"PEI",0.705627705627706,0.354978354978355,0.91280934091783,0.103419585888728
"121",2009-06-25,0.974452554744525,0.711673699015471,"PEI",0.874458874458874,0.818181818181818,0.811169215334062,0.47159885716819
"122",2009-06-26,0.908759124087591,0.752461322081575,"PEI",0.103896103896104,0.913419913419913,0.0168260840877661,0.986928927505897
"123",2009-06-29,0.981751824817518,0.715893108298172,"PEI",0.935064935064935,0.164502164502165,0.992148911504303,0.0278369953840278
"124",2009-06-30,1.05839416058394,0.70323488045007,"PEI",0.926406926406926,0.333333333333333,0.9917111474428,0.0529787378005927
"125",2009-07-01,1.05839416058394,0.69760900140647,"PEI",0.567099567099567,0.424242424242424,0.726459670446737,0.270034382767105
