,ISLE,AKRX
2008-10-10,0.40276577355229043,0.4368279569892473
2008-10-13,0.45635263612791704,0.5376344086021505
2008-10-14,0.4796888504753673,0.48790322580645157
2008-10-15,0.3915298184961106,0.4327956989247312
2008-10-16,0.41659464131374246,0.4637096774193548
2008-10-17,0.40190146931719967,0.46774193548387094
2008-10-20,0.41227312013828865,0.4704301075268817
2008-10-21,0.4062229904926534,0.43951612903225806
2008-10-22,0.3742437337942956,0.40188172043010756
2008-10-23,0.35522904062229904,0.40053763440860213
2008-10-24,0.3085566119273984,0.375
2008-10-27,0.3068280034572169,0.31720430107526876
2008-10-28,0.31028522039757994,0.32661290322580644
2008-10-29,0.35522904062229904,0.31586021505376344
2008-10-30,0.39844425237683667,0.34677419354838707
2008-10-31,0.4399308556611927,0.418010752688172
2008-11-03,0.41659464131374246,0.418010752688172
2008-11-04,0.45721694036300775,0.41935483870967744
2008-11-05,0.428694900605013,0.3091397849462365
2008-11-06,0.3932584269662921,0.31586021505376344
2008-11-07,0.34745030250648223,0.3548387096774194
2008-11-10,0.33189282627484873,0.34274193548387094
2008-11-11,0.29904926534140014,0.31182795698924726
2008-11-12,0.28349178910976663,0.26344086021505375
2008-11-13,0.3120138288677614,0.2997311827956989
2008-11-14,0.2808988764044944,0.260752688172043
2008-11-17,0.26793431287813313,0.24327956989247312
2008-11-18,0.2817631806395851,0.24596774193548387
2008-11-19,0.23163353500432152,0.20833333333333331
2008-11-20,0.2048401037165082,0.1827956989247312
2008-11-21,0.24719101123595505,0.18817204301075266
2008-11-24,0.25410544511668104,0.20026881720430106
2008-11-25,0.2411408815903198,0.22849462365591397
2008-11-26,0.2636127917026793,0.21505376344086022
2008-11-28,0.2904062229904926,0.2204301075268817
2008-12-01,0.23595505617977527,0.19623655913978494
2008-12-02,0.3050993949870354,0.1827956989247312
2008-12-03,0.2748487467588591,0.1760752688172043
2008-12-04,0.25496974935177186,0.16263440860215053
2008-12-05,0.28262748487467587,0.17876344086021506
2008-12-08,0.3016421780466724,0.24596774193548387
2008-12-09,0.3059636992221262,0.24865591397849462
2008-12-10,0.2783059636992221,0.27419354838709675
2008-12-11,0.25929127052722556,0.2836021505376344
2008-12-12,0.2601555747623163,0.3615591397849462
2008-12-15,0.2411408815903198,0.34139784946236557
2008-12-16,0.2843560933448574,0.34139784946236557
2008-12-17,0.2912705272255834,0.3333333333333333
2008-12-18,0.28003457216940364,0.32123655913978494
2008-12-19,0.2748487467588591,0.2567204301075269
2008-12-22,0.2713915298184961,0.2379032258064516
2008-12-23,0.2566983578219533,0.2647849462365591
2008-12-24,0.25324114088159033,0.2620967741935484
2008-12-26,0.25929127052722556,0.27419354838709675
2008-12-29,0.2480553154710458,0.2567204301075269
2008-12-30,0.25842696629213485,0.2620967741935484
2008-12-31,0.27657735522904064,0.3091397849462365
