"","X1","CCK","PX","long_distance","Fx","Fy","MI_X","MI_Y"
"40",2009-03-02,1.04132231404959,0.863847509210316,"PX",0.0952380952380952,0.0606060606060606,0.460005349474984,0.175788317355509
"41",2009-03-03,1.03305785123967,0.885151369533878,"PX",0.393939393939394,0.852813852813853,0.0843595507941429,0.955802946466774
"42",2009-03-04,1.09400826446281,0.909658817876021,"PX",0.961038961038961,0.861471861471861,0.943037445183975,0.368932716750235
"43",2009-03-05,1.09194214876033,0.877302578888355,"PX",0.454545454545455,0.125541125541126,0.859044154756469,0.0440878118318514
"44",2009-03-06,1.06714876033058,0.88483101073202,"PX",0.19047619047619,0.662337662337662,0.0408945585536909,0.925478249207181
"45",2009-03-09,1.03047520661157,0.864648406214961,"PX",0.116883116883117,0.203463203463203,0.163806581464034,0.554021679946951
"46",2009-03-10,1.0728305785124,0.928559987185648,"PX",0.926406926406926,0.974025974025974,0.467227754054953,0.927636329607767
"47",2009-03-11,1.08109504132231,0.961877302578888,"PX",0.619047619047619,0.9004329004329,0.201157873283854,0.942175020217604
"48",2009-03-12,1.11157024793388,0.997757488386993,"PX",0.861471861471861,0.9004329004329,0.596960512355561,0.788239461248324
"49",2009-03-13,1.14617768595041,1.0259490629505,"PX",0.896103896103896,0.861471861471861,0.776598392902544,0.608449472139907
"50",2009-03-16,1.10123966942149,1.00464520262694,"PX",0.0995670995670996,0.212121212121212,0.118827799424773,0.623534480459454
"51",2009-03-17,1.11518595041322,1.02739067755887,"PX",0.705627705627706,0.83982683982684,0.405500836617054,0.824237649241225
"52",2009-03-18,1.14101239669421,1.03059426557745,"PX",0.822510822510823,0.597402597402597,0.865970328181575,0.278052568632525
"53",2009-03-19,1.1301652892562,1.03235623898767,"PX",0.376623376623377,0.571428571428571,0.24047037036281,0.716449891010655
"54",2009-03-20,1.10175619834711,1.01265417267339,"PX",0.173160173160173,0.233766233766234,0.24563425733363,0.481268395099213
"55",2009-03-23,1.09245867768595,1.06791606599391,"PX",0.385281385281385,0.943722943722944,0.0391028198989073,0.991373795021145
"56",2009-03-24,1.08367768595041,1.06311068396604,"PX",0.38961038961039,0.45021645021645,0.369507854303911,0.531831206576441
"57",2009-03-25,1.1146694214876,1.08745795290726,"PX",0.861471861471861,0.83982683982684,0.723285149309644,0.63195586393817
"58",2009-03-26,1.1404958677686,1.11901329489028,"PX",0.822510822510823,0.865800865800866,0.582322289069948,0.758881623339192
"59",2009-03-27,1.11621900826446,1.0943456671472,"PX",0.199134199134199,0.203463203463203,0.348087113520513,0.365268193439743
"60",2009-03-30,1.14411157024793,1.05590261092424,"PX",0.83982683982684,0.125541125541126,0.989266060437188,0.00696635567038487
"61",2009-03-31,1.17407024793388,1.07784718885151,"PX",0.852813852813853,0.835497835497836,0.709509853464249,0.638416967989759
"62",2009-04-01,1.16322314049587,1.10491750760852,"PX",0.376623376623377,0.852813852813853,0.0757656152227688,0.958935968745871
"63",2009-04-02,1.17561983471074,1.09546692295371,"PX",0.67965367965368,0.363636363636364,0.843729548767745,0.152921885948469
"64",2009-04-03,1.16942148760331,1.12654172673394,"PX",0.424242424242424,0.861471861471861,0.095977878432596,0.954798434816571
"65",2009-04-06,1.15392561983471,1.11164504244754,"PX",0.303030303030303,0.303030303030303,0.398976305637751,0.398976305637751
"66",2009-04-07,1.1327479338843,1.07176037161621,"PX",0.233766233766234,0.125541125541126,0.592666451158914,0.149541496808052
"67",2009-04-08,1.14721074380165,1.09002082332212,"PX",0.705627705627706,0.783549783549784,0.491486901380109,0.728874666038466
"68",2009-04-09,1.14669421487603,1.11020342783918,"PX",0.489177489177489,0.805194805194805,0.181680287346975,0.895856979773387
"69",2009-04-13,1.1327479338843,1.11468845106519,"PX",0.333333333333333,0.61038961038961,0.164325633675758,0.797898533810282
